,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,anasage,n,k.o. *fish; the *Dart or *Swallowtail;; incl. [%*Trachinotus~blochi|],,,,,fish,,,,,
,a,andaing,,,,,adaing,,,,,,,
,a,andap,v,to *peek,,,,,,andapi,,,,
,a,andap,v,to *peek at s.o.,,,,,,andap akang,,,,
,a,andap,v,to *peek at s.o. at the request of another,Kuandap akang andeket haiku de ruma palika. |I peeked at a kid on the side of the,,,,,baandap,,,,
,a,andap,vi,to engage in *peek|ing and *peep|ing,,,,,,,,,,
,a,ande-ande$1,n,popular *term; esp. a *codeword; *catchword; *nickname,,,,,,ande-ande akang,,,,
,a,ande-ande$1,v,to provide a nick*name; to label s.o.,Kuande-ande akang ia | I gave him an unflattering nickname,,,,,,,,,
,a,ande-ande$2,conj,*if,ande-ande saiku lima pulu ...| If one fish is fifty (rupiah)...,,,,,,,,,
,a,andeket,n,a *young~person; *youth,andeket jawa ini katakutang | This Javanese youth became frightened.,,anak,,,,,,,
,a,anei,n,k.o. sea *fish; incl. *Coral~trout and *Tiger~trout; [%*Plectropoma~maculatum|],,,,,fish,,,,,
,a,aniaya,v,to *ruin s.t. ; to *beat s.o. thoroughly,manusia muaniaya itu kaleronta| Someone ruined it; our bonfire,,,,,,,,,
,a,antara,prep,*between,antara fini nang fini | between planting seeds,,mamananga,,,,,,,
,a,antaranya,,,,,di antaranya,,,,,,,
,a,antarjiwa,n,k.o. *bird,,,,,bird,,,,,
,a,antawali,n,k.o. *plant used in preparing bitter; medicinal concoctions; ;,,,,,plant ; food,,,,,
,a,anti,n,*opposite,,,,Casual,,,,,,
,a,antimung,n,*cucumber; [%*Cucumis~sativus|] ; *wax-*gourd; [%*Benincasa~hispida|] ; k.o. *vine bearing red fruit; [%*Melothria~heterophylla|] ; *chayote; [%*Sechium~edule|],,,labu siang,,plant ; food ; plant ; plant ; plant ; food,,antimung puti ; antimung ompu ruma ; antimung japa/ng,,,
,a,antuk,,,,,,,,antuki,,,,
