,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,b,bubus,v,to remove s.t. (a plug) at s.o.'s request,Bubus akang paisu bagajina de bak tu | Drain the dirty water in the basin,,,,,babubus,,,,
,b,bubus,vi,to be about the task of draining a wound or a basin,,,,,,nabubus,,,,
,b,bubus,vi,to have drained (e.g. of a boil which has burst),,,,,,,,,,
,b,bubm,vi,to take a bath; to *bathe,,,,Children's language,,,,,,
,b,bubng,n,*box (of sago bark),,,,Arch,,,,,,
,b,budi,n,*generosity; *kindness,,,,,,babudi,,,,
,b,budi,vi,to be *generous and understanding,,,,,,,,,,
,b,bue-bue,n,k.o. *cradle; made by hanging a sarong from a rafter,,,,,,,,,,
,b,buena,,,,,bubuena,,,,,,,
,b,buf,ideo,sound of a *coconut falling,,,,,,,,,,
,b,bugo,n,a small model *house; usually used in *hex-sign|s and magical rites,,,uru,,,,,,,
,b,bui,n,*jail; *prison,,,,,,,,,,
,b,buja-bujang,n,*male *youth|s of marrying age,,,nandolang,,,,,,,
,b,bujuk,v,to *persuade s.o.,ingkamai po ibujuk kita sigodo| She came over here and really coaxed us. ; adaing tabujuk langker supaya ia bausi| Later we'll persuade him to come along.,,,,,bujuk akang,,,,
,b,bujuk,v,to persuade s.o. at s.o.'s request,,,,,,babujukang,,,,
,b,bujuk,vi,to engage in persuading and *coax|ing in an intensive way,,,sau,,,,,,,
,b,buka,vt,to *open s.t. ; to *unfasten or *remove clothing,,,bilak ; baku mata nabukana,,,,,,,
,b,buka,vi,to *break o.'s fast,bakar rica untuk buka barenti makang| The %bakar rica| recipe is for eating after,,,,,bukai,,,,
,b,buka,vt,to *open s.t. for s.o.,Bukai aku nawang. |Open the door for me.,,,,,buka akang,,,,
,b,buka,vt,to *open s.t. at another's request,,,,,,babuka,,,,
,b,buka,vi,to be engaged in *open|ing s.t. ; to *eat at the meal concluding the fast during Ramadan; to *break o.'s fast,,,,,,nabuka,,,,
,b,buka,vi,to be unintentionally *open,Nawang nabuka ianta. |The door is open over there.,,,,,,,,,
,b,bukan main,adv,*very,,,,,,,,,,
,b,bukang,neg,*not,bukang maksut | not the intention,marker for nouns and propositions,kang ; mo,,,,,,,
,b,bukang,part,*right?; am I *correct?,basalng hapadua halangang hapadua mujagai bukang | If one-half are delayed (or,a tag to secure the listener's agreement,,,,,,,,
,b,bukit,n,*hill; *mountain; *heap ; *volcano ; *base of a hill,,,,,geography,babukit,bukit api ; bukit pokona,,,
,b,bukit,vi,to be characterized by hills ; to form hills or heaps,lecak itu itambongi sigodo babukit| He piled the soil up till it formed small hills.,,,,,,,,,
,b,buk$1,ideo,sound of a *punch,,,,,,,,,,
,b,buk$2,n,*book,bukiku| my book,,,,,,,,,
,b,buku,n,*node (of a branch) ; *corner (of a room),,,,,,babuku,,,,
,b,buku,vi,to have a *bump,,,,,,buku-buku,,,,
,b,buku,n,*knee,,,,,body,,,,,
,b,bukuraci,n,k.o. *tuna; the *yellow~fin~tuna; [%*Neothunnus~macropterus|],,,,,fish,,,,,
,b,bulang,n,*month,,,udang ; nggaoti bulang,TM,,,,,,
,b,bulat,vi,*round,,,,,,bulat akang,,,,
,b,bulat,v,to make s.t. round at s.o.'s request,,,,,,pabulati,,,,
,b,bulat,v,to shape s.t. into round objects; to round the sharp angles of s.t.,pasi mupabulati kayu itu yogo ipabua tiang bandera| They rounded the wood because,,,,,,,,,
,b,bulu-bulu,n,body *hair ; body hair ; *fur ; *feather ; insect *setae,,,,,body,babulu,bulu-bulu nyawa,,,
,b,bulu-bulu,vi,to be covered with *fur; *feather|s; or body *hair,,,,,,bubulu,,,,
,b,bulu-bulu,n,many *feather|s or *hair|s,manuk bubuluna | chicken feather,,ulat babulu ; buok ; mata bulu-buluna,a term used by certain speakers,,,,,,
,b,bulus,,,,,,,,bulus akang,,,,
,b,bulus,v,to cause to *sink,,,,,,nabulus,,,,
,b,bulus,vi,to be *sunk,,,nggaeka bulus,,,,,,,
,b,bulut,n,*top; *summit; highest point,di meja buluta | on the top of the table ; de masing buluta| on the surface of the sea (not the bottom),,,,,,,,,
,b,bum,ideo,the sound of a cannon; *boom,,,,,,,,,,
,b,bumi,,,,,gumi,,,,,,,
,b,bunap,,,,,bagunape/,,,,,,,
,b,bundur,n,*brush; incl. *toothbrush; *hairbrush and *scrub~brush,,,,,utensil,babundur,,,,
,b,bundur,vi,to *brush (o.'s teeth or body),,,,,,,,,,
,b,bunu,v,to *kill ; to *extinguish (a flame); to *turn~off (electricity),,,,,,bunui,,,,
,b,bunu,v,to extinguish (a flame) or turn~off s.t. so as to affect s.o.,kan po kau mubunui aku padamara? | Why did you put out the lamp on me?,,,,,bunu akang,,,,
,b,bunu,v,to extinguish s.t. (a flame) or turn s.t. off at s.o.'s request,,,,,,bunui akang,,,,
,b,bunu,v,to affect s.o. (at s.o.'s request) by extinguishing s.t. (a flame) or turning s.t. off,,,,,,babunuang,,,,
,b,bunu,vi,to be engaged in *kill|ing e.o. ; to *fight e.o.,pauli dadi babunuang de itu de kayuang dalama| It could turn into violent discord there,,,,,,,,,
,b,bunga,,,,,petsawi babunga ; kolouno bunga,,,,,,,
,b,bunga rampe,,,,,duriang bunga rampe,,,,,,,
,b,bungang,n,roof *ridge,,,house,,,,,,,
,b,bunging,n,*sandbar which rises above the water,,,pasi,,geography,,,,,
,b,buok,n,head *hair ; k.o. *hairstyle; a *brush~cut (only a few centimeters of hair standing upright) ; *gray-haired,,,,,body,babuok,buok didi: ; buok puti,,,
,b,buok,vi,to have hair (on o.'s head; e.g. of an infant) ; to have produced *cornsilk; characteristic stage of the growth of corn,,,bulu bulu,,,,,,,
,b,buong,v,to *throw away,Sadangkang tabotangi uru ke pasi jagai mubantung mena mukemi: mena mubuong.| ; topi habua ni bahalng aku tala kubuong| This hat; if it was me; I would have thrown it,,,,,buong akang,,,,
,b,buong,v,to throw s.t. away for s.o.; to *dispose of s.t.,,,,,,babuong,,,,
,b,buong,vi,to *jump from a height; esp. into water,,,,,,babuongi,,,,
,b,buong,vi,to *bake *sago bread,,,,,sago ; culinary,,,,,
,b,bura,n,*bubble; *foam,,,,,,,,,,
,b,bura,v,to *spit on s.t. (for medical purposes),alengo pa umar mubura adiku poruta| A moment ago Mr. Umar treated my younger,,,,,burai,,,,
,b,bura,v,to spit on s.t. (specific) to relieve a pain,,,,,,babura,,,,
,b,bura,vi,to *bubble up,,,,,,,,,,
,b,burit,n,*rump; *buttocks ; *anus,,,,,body ; body,,burit posuka,,,
,b,buro-buro,n,k.o. *pandanus; the *screw~pine; [%*Pandanus~|sp.] ; k.o. thorny seaside *pandanus; [%*Pandanus~tectorius|],,,,,plant ; plant,,buro-buro baduri,,,
,b,buru,n,*laborer; *roustabout,,,,,,baburu,,,,
,b,buru,vi,to *work as a laborer or roustabout,,,,,,,,,,
,b,burudel,n,k.o. pound *cake,,,,,food,,,,,
,b,buruk,vi,*rotten,,,jat ; nyawa buruk,,,,,,,
,b,burung$1,n,*bird; in certain collocations ; k.o. *bird ; k.o. *bird; *hornbill; fam. *Bucerotidae ; k.o. *bird; *woodpecker; fam. *Picidae,,,rere/k ; kalo,,bird ; bird ; bird ; bird,,burung rekre/k ; burung rica ; burung taung ; burung tukang,,,
,b,burung$2,,,,,,,,burungi,,,,
,b,burung$2,vt,to *consume s.t. (food) by putting into o.'s mouth a quantity of food rather too large,,,burung$1,,,,,,,
,b,burung$3,,,,,baburung,,,,,,,
,b,buso,n,*bangle,,,buso-buso ; gala/ng,,,,,,,
,b,buso-buso,n,a *mollusc; a *cone~shell; possibly [%*Conus~consors|],,,buso ; bobot buso buso,,,,,,,
,b,busuk,vt,to *clean a fish; i.e.; *remove scales and bones; as a preliminary stage in preparing,,,poruti,,culinary,busuki,,,,
,b,busuk,v,to prepare fish in such a way for s.o.,,,,,,busuki akang,,,,
,b,busuk,v,to prepare fish at s.o.'s request ; to prepare fish at s.o.'s request,busuk akang aku lao lompa| Prepare some %lompa| fish for me,,,,,busuk akang ; babusuk,,,,
,b,busuk,vi,to engage in preparing fish,babusuk edat| to prepare fish for seviche,,,,,pabusukang,,,,
,b,busuk,n,k.o. *sieve used in the early stages of sifting sago meal <*sifter> to remove fibers.,,,pamusukang ; lalasang ; kusuk,,,,,,,
,b,busur,,,,,,,,busuri,,,,
,b,busur,vt,to *crash into s.o. or s.t.,,,,,,busur akang,,,,
,b,busur,v,to crash or *shove into s.t. or s.o.,,,,,,babusurang,,,,
,b,busur,vi,to *run~into e.o. ; to reach for the same platter of food at the same time,,,,,,nabusur,,,,
,b,busur,vi,to have *bump|ed; to have *crash|ed,,,,,,,,,,
,b,buta,vi,*blind; *vision-impaired,,,mambuta ; ular buta,,,,,,,
,b,buta-buta,n,k.o. seaside *tree with highly toxic sap; which can cause blisters and lesions;,,,,,plant,,,,,
,b,butik,n,skin *rash; *skin~*disease ; small *pox,,,,Arch.,health,,,,,
,b,butu,n,*penis,,,peler,,body,,,,,
,b,butu cina,n,k.o. *fish,,,,,fish,,,,,
,b,bung,n,k.o. of *fruit; *langsat; [%*Lansium~domesticum|] ; k.o. *langsat *fruit,,,,,plant ; plant,,bua/ng duku,,,
,c,ca:,excl,*Imagine!  *Wow!,Ca: buk ini mubei aku. | Wow!  You've given me this book. ; ca: itu basng ompu mucatu jadi bo: rijiki | Imagine if the Lord granted that it be for our,,,,,,,,,
,c,ca,n,a culinary method for fish or vegetables; *fry|ing with soy sauce,,,,,culinary,,,,,
,c,cabang,n,*branch of a tree,,,da:ng ; jangkar,,,,,,,
,c,ca:-ca:,excl,*What!; exclamation of disapproval or disagreement,,,,,,,,,,
,c,cacaberak,n,k.o. horned *toad; probably [%*Megophrys~monticola|],,,cacak ; berak,,animal,,,,,
,c,cacak,n,house *lizard; *gecko; [%*Hemidactylus~frenatus|],,,cacaberak,,animal,,,,,
,c,cacawi,n,k.o. *vegetable; *Chinese~cabbage; [%*Brassica~rapa~Pekinensis |] Group,,,,,plant,,,,,
,c,cacawilu,n,k.o. *fish; a *halfbeak; possibly the *garfish; [%*Hyporhamphus~ardelio|],,,,,fish,,,,,
,c,cacebar,n,*mud,,,,,,bacacebar,,,,
,c,cacebar,vi,*muddy,,,,,,,,,,
,c,caga,,,,,raut caga,,,caga-caga,,,,
,c,caga,adv,in a *panic; *hurriedly under pressure,,,,,,,,,,
,c,cai,v,to *look~for lice in s.o.'s hair,,,,,,bacai,,,,
,c,cai,vi,to engage in looking for lice,,,,,,bacaiang,,,,
,c,cai,vi,to *look~for lice in e. o.'s hair,,,,,,bacabacaiang,,,,
,c,cai,vi,to look for lice in e.o.'s hair consecutively,,,,,,pacai-cai,,,,
,c,cai,v,to *look~for s.t.; to *search~for s.t.,,,,,,,,,,
,c,cai-cai,n,k.o. *insect of the family *Phasmidae; the *stick~insect or *twig~insect;,,,,,insect,,,,,
,c,cakabanga,n,k.o. evil *spirit which punishes a person for inadvertently treading on its dwelling;,,,,,spiritual,,,,,
,c,cakal,v,to *grasp firmly; to *hold ; to *catch ; to grasp the meaning of s.t.; to *understand s.t.,cakal kupu-kupu |catch butterflies ; cakal bicarana | grasp her statement,,,,,cakali,,,,
,c,cakal,v,to put s.t. into s.o.'s grasp; to *press s.t. into s.o.'s hand,alengo langker mucakali aku doit dua ribu | A few minutes ago he pressed 2000 rupiah,,,,,cakal akang,,,,
,c,cakal,v,to *grab or grasp s.o. or s.t. at s.o.'s request (e.g. to catch s.o.'s runaway chicken or,,,,,,cakali akang,,,,
,c,cakal,v,to cause s.o. to grasp s.t. by asking s.o. else to help,aku kucakali akang si Umar doi | I made sure that Umar was given money. ; aku kucakali akang doit de si Alkani bo: si Umar | I arranged for Alkani to put money,,,,,bacakal,,,,
,c,cakal,vi,to grasp s.o.'s hands (e.g. to give a boost to another) ; to engage in catching or *trap|ping miscreants; animals or truants ; to usually hold some position or s.t. ; to hold a job; to be *employed,pasi ka mai bo: bacakal nonk | They came here to catch macaques.,,,,,bacakalang,bacakal paguna:ng,,,
,c,cakal,vi,to *hold~together firmly ; to *shake~hands,meja itu mupaku marosong-marosong ka ia bacakalang | Nail that table well so it will,,,,,bacabacakalang,bacakalang tangang,,,
,c,cakal,vi,to grasp e.o.'s hands,,,,,,pacakal akang,,,,
,c,cakal,v,to bring together two pieces so that they meet in close contact (e.g. to lever a door so it ; to *join together close relatives (e.g. cousins) in marriage in order to strengthen family,Pasi yogo mupacakal akang aku nang sapupuku | They want to arrange for me to marry,,,,,cacakala,,,,
,c,cakal,n,*handle|s; *grip,,,pamula:ng ; campak,,,,,,,
,c,cakalang,,,,,wowo,,,,,,,
,c,caku:,n,k.o. *bird,,,,,bird,,,,,
,c,calana,n,*trousers ; *pants or *shorts with a drawstring ; *shorts ; long trousers; *pants,,,,,clothing,,calana bobodiku ; calana pandak ; calana tinggi,,,
,c,calepo,,,,,,,,calepo akang,,,,
,c,calepo,v,to *seat s.o. (e.g. an infant) on the ground,,,,,,bacalepo,,,,
,c,calepo,vi,to *sit on the bare floor or ground without any covering,,,duduk ; penyak,,,,,,,
,c,calumeme,n,k.o. *millipede; class *Diplopoda,,,alilipang ; alimamayang,,insect,,,,,
,c,camara,n,false *hair-piece,,,,,,,,,,
,c,camara mo,n,*disturbance of the water surface where two currents meet,,,,,,,,,,
,c,camat,n,*district~head,,,,,society,,,,,
,c,camba lait,,,,,ngguming,,,,,,,
,c,cambaekat,n,k.o. *fish; a *halfbeak; perhaps the *black-barred~*garfish; [%*Hemiramphus~far|],,,,,fish,,,,,
,c,cambuk,n,*crest or erect feathers characteristic of certain birds ; *antenna|e or *feeler|s (of certain insects) ; *barbel|s (of certain fish),,,,,,,,,,
,c,campak,n,*handle of the canoe paddle,,,,,,,,,,
,c,campaka kubur,n,k.o. *tree with showy flowers; the *frangipangi; [%*Plumeria~|sp.],,,,,plant,,,,,
,c,camparng,n,k.o. small; black *bird with a melodious morning song,,,,,bird,,,,,
,c,campur,v,to mix s.t.,campur baku nang paisu | mix sago flour with water,,,,,campuri,,,,
,c,campur,v,to mix s.t. for s.o. ; to *interfere in s.t.,campuri aku te hadiki | Mix me up a little tea ; cece mucampuri halingku | Don't interfere in my affairs,,,,,campur akang,,,,
,c,campur,v,to *mix s.t. at s.o.'s request,,,,,,campuri akang,,,,
,c,campur,v,to mix s.t. for s.o. at s.o.'s request,,,,,,bacampur,,,,
,c,campur,vi,to be engaged in mixing ; to *process sago by mixing water and scraped sago pith and forcing it through a filter,tolu-tolu tu tala ka sana bacampur tala barenti | All three of them go there after they've,,,,,bacampurang,,,,
,c,campur,vi,to mix with e.o.; to become involved with e.o.,bararti ola-ola ini tala bacampurang ini nang fofoki alengo itu| That means the stewed,,,,,pacampur akang,,,,
,c,campur,v,to mix to such an extent that the contents cannot be separated or distinguished,,,,,,pacampu-campur akang,,,,
,c,campur,v,to thoroughly mix up and confuse a large number of things <*haphazard>,ini pasi ipacampu-campur akang bena yogo basusung| They mix them up haphazardly;,,,,,pacampurang,,,,
,c,campur,n,the place for mixing; e.g. a trough for cement ; the *mix or *mixture,,,,Casual,,,,,,
,c,camuni,,,,,,,,camuni akang,,,,
,c,camuni,v,to *hide; *conceal; or *secrete s.t.,,,,,,bacamuni,,,,
,c,camuni,vi,to *hide o.s.,manusia tama de itu ka bawa bacamuni de itu | People enter there in the west (and) hide,,,,,bacamuniang,,,,
,c,camuni,vi,to *hide (of several persons),tampa bacamuniang | hiding place; i.e. a place where persons hide themselves,,,,,,,,,
,c,cana,,,,,inycana,,,,,,,
,c,canga,n,*performance of an adat dance; usually a war dance; esp. to obtain contributions for a,,,,,,bacanga,,,,
,c,canga,vi,to engage in such an activity,,,,,,,,,,
,c,canggar,vi,*erect (of the penis),,,,,,canggar akang,,,,
,c,canggar,v,to *manipulate the penis until it is erect (for s.o. else),,,,,,pacanggari,,,,
,c,canggar,v,to *stimulate or *excite s.o. sexually with suggestive talk or action,kau babicara kura-kurang ajar kau mupacanggari kami | You have been telling dirty,,,,,,,,,
,c,capa-capa,,,,,bacapa-capa,,,,,,,
,c,capaka,n,k.o. *tree with showy flowers of the *magnolia family; the *champac or *champaka;,,,,,plant,,,,,
,c,capatu,n,*shoe,,,,,clothing,,,,,
,c,cap-cp,ideo,the sound of smacking and chomping,,,,,,bacap-cp,,,,
,c,cap-cp,vi,to *chomp; to *smack lips ; to *snack; esp. to *eat while walking,,,,,,,,,,
,c,capeo,n,*hat,,,,,clothing,,,,,
,c,capilng,n,k.o. *tree; probably a TM term,,,olong,,plant,,,,,
,c,capt,adv,*fast,gunanya itu taasapi bung supaya ia capt masak | The purpose of it; of our smoking,,,,,cacapt,,,,
,c,capt,adv,*immediately; very *quickly,batikang de kapala kampung itu su: cacapt ka ba: | Tell the village head to order (them),,,,,pacapti,,,,
,c,capt,v,to *accelerate the *speed of s.t.; to encourage s.o. to be faster,paguna:ngimu itu mupacapati hadiki| Speed up your work a little.,,,,,,,,,
,c,cara,n,*manner; *way ; *how~to; the way to (do s.t.),carana| its manner; the way ; pasi musauk cara deminy| How do they scoop them out? ; daulu mangaji cara deminy| In the old days what was the manner of studying the,,,,,,cara deminya/,,,
,c,carama,n,*lecture; usually on religious topics,,,,,,,,,,
,c,carangenge,n,*petulance; a tendency to *whine and *pout,,,,,,,,,,
,c,caranya,prep,*in~the~*manner,,,,prob. from Indonesian,,,,,,
,c,carita,n,*story,,,,,,carita akang,,,,
,c,carita,v,to *narrate s.t.,,,,,,bacarita,,,,
,c,carita,vi,to *tell a story ; to *chat; *converse or *gossip,ibaca moyo tu duduk bena bacarita | They do not recite the Quran; they simply sit down,,,,,,,,,
,c,cati,vi,to *show~off; to be overbearingly *proud ; to be *smug and pampered,,,,,,cati akang,,,,
,c,cati,v,to *pamper s.o.,,,,,,bacati,,,,
,c,cati,vi,to engage in pampering,,,,,,,,,,
,c,catu,vt,to *grant a prayer or wish,Basng ompu mucatu dadi bo: rijik. |If the Lord grant (it); it will become bounteous.,,,,,,,,,
,c,catut,,,,,,,,bacatut,,,,
,c,catut,vi,to seek a *profit in commercial transactions,,,,,,,,,,
,c,caya,n,*daytime; *noontime ; the *next~day; the *morrow ; the *next~day,tala caya| It's daytime!,,tidu caya-caya ; damping caya,,,bacaya,cayana ; caya ka ba:,,,
,c,caya,vi,to *stay~up *talk|ing till dawn,,,,,,,,,,
,c,ce,,,,,ce',,,,,,,
,c,cece$1,vet,*don't ; *never~mind; *disregard ; *lest; in the untoward event that,Cece mulonggar te mamis. |Don't drink sweet tea. ; cece dua pulu belk basisa ke ada| Never mind twenty cans; there can be even more! ; tabotang puang manusia banyak sabp cece mo ido:kang kita | Keep the community,,,,,,cece mo,,,
,c,cece$2,n,*great-*grandchild,,,totu,,kinship,,,,,
,c,cege$1,n,,,,,,,,,,,
,c,cimbat,n,"k.o. *bird; perhaps the *blue-crowned~hanging~*parrot;
 [%*Loriculus~galgulus|]",,,,,bird,,,,,
,c,cina,n,*China; *Chinese,,,,,place name,,,,,
,c,cinta,n,*love; *affection,,,,,,,,,,
,c,cinta,v,to *love s.o.,,,sayang,,,bacinta,,,,
,c,cinta,vi,to *court; to be in a love relationship,,,,,,bacibacinta:ng,,,,
,c,cinta,vi,to love e.o.,,,,,,,,,,
,c,cinga-cinga,n,k.o. *plant; [%*Wedelia~biflora|],,,,,plant,,,,,
,c,cinycing,n,*ring,,,,,,,,,,
,c,cinycng,n,k.o. *insect; *dragonfly; order *Odonata,,,,,insect,,,,,
,c,cipo,n,*robe; covering all but the face and hands; worn by women performing the Islamic,,,,,clothing,,,,,
,c,cir,ideo,the sound or sensation of *buzz|ing; *ring|ing and other *resonation|s,,,,,,bacr,,,,
,c,cir,vi,to experience *ring|ing (in the ears),,,,,,,,,,
,c,circr$1,n,k.o. *insect,,,,,insect,,,,,
,c,circr$2,n,k.o. *plant,,,,,plant,,,,,
,c,citct,,,,,,,,bacitct,,,,
,c,citct,vi,to be *spotted; *checkered or *variegated,,,cicak,,,,,,,
,c,cobo,v,to *pinch off a bit (of food; tobacco; etc.) ; to take food and pop it into o.'s mouth,,,,,,co-coboi,,,,
,c,cobo,v,to repeatedly *snap~up s.t. to eat (e.g.; eating from a plate of snacks; peanuts; etc.),,,,,,,,,,
,c,cocok,vi,*appropriate; *fitting,paguna:ng itu cocok moyo| That job was not appropriate (for me).,,,,,,,,,
,c,cocokoi,n,k.o. *bird; the *maleo; [%*Macrocephalon~maleo|] ; k.o. *mite; order *Acari,,,,,bird ; insect,,cocokoi tumana,,,
,c,cocoromi,vi,*distorted (of the mouth); *twisted (of the lips),,,,,,,,,,
,c,cock,n,k.o. *bird; a small gray *heron; fam. *Ardeidae,,,soi ; sueko,,bird,,,,,
,c,coe,n,k.o. culinary preparation; *steam|ing,roti coe| a steamed bun,,,,,coe-coe,,,,
,c,coe,n,k.o. cooking utensil; a *steamer,,,,,utensil ; culinary,,,,,
,c,cofo,n,the *relationship between two persons who marry into the same family <*in-law>,,,,,kinship,,,,,
,c,cogor,,,,,,,,cogori,,,,
,c,cogor,vi,to *urinate in a *stand|ing position,,,,,,,,,,
,c,cogor,vt,to *urinate on s.o.,,,,,,bacagorang,,,,
,c,cogor,vi,to be in a standing position (of several persons); e.g. to rest in a standing posture ; to be *erect (of a stand of trees or plants),,,,,,cogor-cogor,,,,
,c,cogor,vi,very *straight (posture); *vertical; *ramrod,,,,,,,,,,
,c,coho,v,to *treat s.t. by *drip|ping medicine onto it,Ia macoho matana ia. |He's dripping medicine into his eye.,,,a TM term used by some speakers,health,bacoho,,,,
,c,coho,vi,to *treat the hair by smearing coconut flesh into it,,,inyjang,,,,,,,
,c,cokang,n,a military *rank in the Japanese army of the occupation; *commander,,,,Archaic,,,,,,
,c,cokur,n,k.o. *medicinal *rhizome; the *lesser~*galangal; [%*Kaempferia~galanga|],,,,,plant,,,,,
,c,cole,n,*camisole; women's *undergarment,,,,,,,,,,
,c,colp,v,to *dip s.t.,,,,,,colpi,,,,
,c,colp,v,to dip s.t. for s.o,mucolpi aku baku habua | Dip a piece of sago bread for me,,,,,colp akang,,,,
,c,colp,v,to dip s.t. (into a liquid) at s.o.'s request,,,,,,colpi akang,,,,
,c,colp,v,to dip s.t. (specific) at s.o.'s request,ia mucolpi akang capeo de paisu dalama barang bagaji | She dipped the hat in water,,,,,bacolp,,,,
,c,colp,vi,to be dipped ; to be immersed,kuidap angat po aku bacalp | I felt hot so I took a dip,,,,,pacolp akang,,,,
,c,colp,v,to *soak s.t. for a rather long time,,,,,,,,,,
,c,cring,ideo,sound of a plate falling and *shatter|ing,,,,,,,,,,
,c,cris-cris buf,ideo,sound of a durian *fall|ing,,,,,,,,,,
,c,cu,,,,,cucu,,,,,,,
,c,cucu,n,*grandchild,,,,,,pacucuang,,,,
,c,cucu,n,a *familial~set; *grandparents and *grandchildren,,,,,kinship,sapacucuang,,,,
,c,cucu,n,related within that *familial~set (which may include *great-aunts and *great-uncles as,,,,,,,,,,
,c,cuit$1,n,k.o. small yellow and black *bird with a melodious morning song,,,,,bird,,,,,
,c,cuit$2,,,,,limo,,,,,,,
,c,cuka,n,palm *sap; esp. as *vinegar or palm *wine,,,,,,,,,,
,c,cukmr,v,to *finish s.t. off,,,,Coarse,,,,,,
,c,culas,vi,*insincere,,,,,,,,,,
,c,culik,v,to *skewer s.t. ; to *point~at s.t. or s.o.,muculik awatar ka tapabua sate | You skewer sago grubs so we can make satay ; kana: muculik aku | Why are you pointing at me?,,,,,culiki,,,,
,c,culik,v,to *point~out s.o. or s.t. or skewer s.t. for s.o.,pesa muculiki aku si Umar de mana ia? | Please point out Umar to me. Where is he?,,,,,culik akang,,,,
,c,culik,v,to point at or point out s.o. or skewer s.t. at s.o.'s request,culik akang langker Umar di mana | Point out for him where Umar is.,,,,,baculik,,,,
,c,culik,vi,to be engaged in pointing out ; to work at skewering,cece kau baculik de ini paposong | Don't go about pointing at things: here it is a taboo ; pasi baculik sate de pasar | They skewer (regularly work at skewering) satay at the,,,,,bacubaculikang,,,,
,c,culik,vi,to point at e.o. ; to *accuse e.o.,,,,,,panyculik akang,,,,
,c,culik,v,to cause s.t. to be skewered at s.o.'s request ; to *appoint or *elect s.o.,,,,,,,,,,
,c,cunting,n,anal *muscle|s; esp. when distended <*anus> ; *hemorrhoid,,,burit posuka,,body,,cunting naulur,,,
,c,cung,v,to *sniff s.t. ; to *kiss s.t.,,,,,,cungi:,,,,
,c,cung,v,to sniff at s.t.,pesa kau mucungi: makanang itu tala jat ka bolung | Please sniff that food. Is it spoiled,,,,,bacungiang,,,,
,c,cung,vi,to *kiss e.o.; to *nuzzle e.o.,,,,,,pacung akang,,,,
,c,cung,v,to *sniff~out s.t.; to search for s.t. by *smell|ing (e.g. look for durian),,,,,,,,,,
,c,cupil,n,a stage in the growth of a *coconut; the fruit is quite small,,,,,,,,,,
,c,curi,v,to *steal,Ia tala ma curi pondoku bena ma umbuk hall. |He stole my shirt; then asked for my,,,,,curi:,,,,
,c,curi,v,to *steal s.t. for s.o.,Curi: aku baku habua. |Steal me a piece of sago bread.,,,,,curi akang,,,,
,c,curi,v,to *steal on s.o.'s behalf,Danycanaka ia musu: ia curi akang nggaoti tolu biji. |His brother told him to steal three coconuts.,,,,,bacuri,,,,
,c,curi,vi,to engage in *thieving and *pilfer|ing,Ia bapaguna:ng mo dugana bacuri manuk torus. |He doesn't work; he just steals,,,,,bacuriang,,,,
,c,curi,vi,to steal from e.o.,,,,,,pacuri-curi akang,,,,
,c,curi,v,to steal s.o.'s things on successive occasions (e.g. to steal a shirt; then some days later,,,,,,manycuri,,,,
,c,curi,vi,to engage in thefts and *rob|beries,,,,,,,,,,
,c,curt,n,k.o. hard finger-shaped *cookie of *sago,,,,,sago ; food,,,,,
,c,cuti$1,n,*holiday; *vacation,,,,,,,,,,
,c,cuti$2,,,,,iyu cuti,,,,,,,
,d,da:,loc,the direction of the land; *landside,aku ka daya maramas ka da: nang angat | I went inland to process sago there in all that,,daya ; inda:,,,,,,,
,d,da,,,,,,,,,da...mo,,,
,d,da,part,definitely *not,Ke aku da sopang mo. |But I didn't go out at all.,,,,,,,,,
,d,dabu-dabu,n,k.o. spicy; sour *sauce to accompany roasted fish or boiled vegetables ; k.o. sour *salad of raw vegetables; esp. cucumber; shallots; and French beans ; k.o. *condiment of ground chiles; salt and lime juice ; k.o. *sauce made of ground peanuts and spices ; k.o. *condiment of dry-fried grated coconut sauted with spices and coconut cream ; k.o. *compote of eggplant; %mawe| fruit and other ingredients ; k.o. *condiment made of coconut; pepper and a souring agent ; k.o. *condiment made with crispy dregs of oil and fish with chiles ; k.o. *condiment of sliced chiles and lime juice ; a *condiment of grated coconut ground with chiles and other spices ; k.o. *side-dish made with chopped eggplant; coconut cream; tomato and other spices,,,,,culinary ; food ; culinary ; culinary ; culinary ; food ; culinary ; culinary ; culinary ; culinary ; food,,dabu-dabu acar ; dabu-dabu beo ; dabu-dabu bonyci ; dabu-dabu garu ; dabu-dabu kasawari ; dabu-dabu komos ; dabu-dabu lano ; dabu-dabu manta ; dabu-dabu sambal ; dabu-dabu seri,,,
,d,dada,n,the flat interior *surface of hands or feet <*palm> <*sole> ; *palm (of the hand) ; *sole (of the foot),,,,,body ; body ; body,badada-dada,tangang dadana ; tiol dadana,,,
,d,dada,vi,*heaping *full; filled to the rim (of containers; e.g.; plates; etc.),nggaeka sinanga sapinggang badada-dada| a heaping plate of fried bananas,,,,,,,,,
,d,dadang$1,v,to *roast or *smoke s.t. (esp. fish) wrapped in leaves for a long time ; to *wrap s.t. in leaves for roasting,,,,,,dadangi,,,,
,d,dadang$1,v,to roast s.t. for a long time for s.o.,Dadangi aku lao haiku | Roast me a fish,,,,,dadang akang,,,,
,d,dadang$1,v,to roast s.t. at s.o.'s request,,,,,,badadang,,,,
