0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
73,alap,,,,,,,,,,,,,,,,,,,,,alap akang,
74,alap,verb,to invite someone (at another's request) to a ritual meal,Mualap akang langker inycana kamai.,Invite that elder there to  come here.,,,,,,,,,,,,,,,,,alap-alap,
75,alap,noun,"those invited to a ritual meal, guests",alap-alap di dodak tala kapo ka bolung,Have those invited earlier already arrived or,,,,,,,,,,,,,,,,,baalap-alap,
76,alap,intransitive verb,to extend invitations for a ceremony,,,,,,,,,,,,,,,,,,undang,,
77,alapi:,verb,to take for someone,Mualapí: aku glas aku yogo kulonggar paisu.,Get me a glass,I want to drink some,,,,,,,,,,,,,,,ala,,
78,alat,noun,"tool, equipment",,,,,,,,,,,,,,,,,,,,alat pakakas \df requisite equipment \af  baalat \ps  vi \df to be equipped or characterized by a tool \crm  pakakas \sf  tool
79,alawís,noun,"kind of bird, hawk or kite of the family Accipitridae",,,,,,,,,,,,,,,,bird,,,,
80,ale-ale,,,,,,,,,,,,,,,,,,,,,ale-ale akang,
81,ale-ale,transitive verb,"to soothe someone (an infant) by dancing or singing, to lullaby someone",,,,,,,,,,,,,,,,,,,baale-ale,
82,ale-ale,intransitive verb,to lullaby or amuse and soothe children,,,,,,,,,,,,,,,,,,,,
83,alelendí,noun,"kind of epiphytic fern,",,,,,,,,,,,,,Drynaria rigidula <epiphyte>,,,plant,,,,
84,alengo,particle,"a moment ago, mentioned earlier, aforesaid",alengo kulanggari pasar sunyi manusia mo,A few minutes ago I passed by the market.,...supaya daung alengo itu dadi kasal,...so that the aforementioned leaves become,,,,,,,,,,,,,,,,
85,alhamdu,,,,,,,,,,,,,,,,,,,,sukur alhamdu,,
86,alidaráng,noun,kind of traditional fried cake made of rice flour and palm sugar,,,,,,,,,,,,,,,,,,,,
87,alifuru,noun,"animist, pagan, to be a naive person, to behave like a rustic or unsophisticated person (e.g. to be",si jani alifuruna,Mujani's lack of sophistication is really something.,,,,,,,,,,,,,derogatory,,,,,
88,alilipang,noun,"centipede, class Chilopoda",,,,,,,,,,,,,,,,insect,,"alimamayang, calumeme",,
89,alim,verb,pious,,,,,,,,,,,,,,,,,,,,
