0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3146,onda-onda,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,
3147,ondo,noun,sun,,,,,,,,,,,,,,,,natural phenomenon,,,,"ondo makarau \df solar eclipse \af  naondoa \ps  n \df an early time in the day <morning> \af  nao-naondoa \ps  adv \df early \af  ondo-ondo \ps  adv \df broad daylight, daytime \crm  tidu ondo-ondo"
3148,ono,noun,"kind of palm, the Arenga palm or sugar palm,",,,,,,,,,,,,,Arenga pinnata,,,plant,,ijuk,,
3149,ontok,noun,"contents, flesh",,,,,,,,,,,,,,,,,,isi,onto-ontoka,
3150,ontok,intransitive verb,to be stark naked,,,,,,,,,,,,,,,,,,,,
3151,onggas,,,,,,,,,,,,,,,,,,,,,onggasi,
3152,onggas,verb,to gesture with or move the eyes in order to frighten someone,kuonggasi mata de andeket itu,I opened my eyes wide at that youngster to scare him,,,,,,,,,,,,,,,,,naonggas,
3153,onggas,intransitive verb,"to have flared up (of a flame), to be wide open (of eyes)",,,,,,,,,,,,,,,,,,,,
3154,ongkos,noun,"costs, expenses",ongkosa ia puasa,o.'s Ramadan expenses,,,,,,,,,,,,,,,,,,
3155,op,noun,fish net,,,,,,,,,,,,,,,,,,,,
3156,op,verb,to fish with a net,,,,,,,,,,,,,,,,fishing,,giop,op akang,
3157,op,noun,"to net s.t. (a frog, butterfly, etc.), to net with s.t.",yo taba:pé yogo ka lau taop akang hanya-hanya salia,"Well, what did we carry to the",,,,,,,,,,,,,,,,,baop,
3158,op,intransitive verb,to fish with a net,,,,,,,,,,,,,,,,fishing,,maop,,
3159,opis,verb,to ripen some fruit by storing it,,,,,,,,,,,,,,,,,,,opis akang,
3160,opis,verb,to ripen s.t. at someone's request,,,,,,,,,,,,,,,,,,,baopis,
3161,opis,intransitive verb,to engage in ripening in such a way,,,,,,,,,,,,,,,,,,,,
3162,ora,transitive verb,to loosen or slacken (a fish-line),,,,,,,,,,,,,,,,,,,,
3163,orang kaweng,noun,the families of the bride and groom <wedding>,,,,,,,,,,,,,,,,,Malay,,,
3164,orang pinggang,noun,dish rack,,,,,,,,,,,,,,,,utensil,,,,
3165,orang song,noun,an older man,orang song tolu urang,three men,,,,,,,,,,,,,,,,,,
3166,oras,noun,"o'clock, time, era, period",orasa bangaji,Quranic recitation time,orasa lao moyo,a time when there are no fish,,,,,,,,,,,,,,palu,,
3167,oru,noun,the base of a dugout,,,,,,,,,,,,,,,,boat,,,oru-oru,
3168,oru,noun,"gully, valley bottom",,,,,,,,,,,,,,,,geography,,lambak,,
3169,os,noun,rafter,,,,,,,,,,,,,,,,house,,,,os inana \df the main rafters \sf  house
3170,osa,noun,"kind of mollusc, the sculptured dosinia,",,,,,,,,,,,,,Fallartemis sculpta,,,,,,,
3171,osi,,,,,,,,,,,,,,,,,,,,usi,,
3172,otap,noun,thatch,,,,,,,,,,,,,,,,,,,otapi,
3173,otap,verb,to thatch s.t.,,,,,,,,,,,,,,,,,,,,
3174,oto,noun,the enclosure or well of a stationary fish trap,,,,,,,,,,,,,,,,fishing,,,,
3175,pa,noun,"term of respectful reference for an older, usually unrelated male, used with his given",pa kardi,Mr. Kardi,,,,,,,,,,,,,,,,,,
3176,pa:,ideophone,sound of a slap,,,,,,,,,,,,,,,,,,,,
3177,paangati,,,,,,,,,,,,,,,,,,,,angat,,
3178,paarati,,,,,,,,,,,,,,,,,,,,arat,,
3179,pabersi akang,,,,,,,,,,,,,,,,,,,,bersi,,
3180,pabini akang,,,,,,,,,,,,,,,,,,,,bini,,
3181,pabiniang,,,,,,,,,,,,,,,,,,,,bini,,
3182,pabua,verb,"to make, to do, to cause s.t. to occur",pabua kalero ni mantak,To make a banked fire (for calcium oxide) is a painstaking task.,pabua rame-rame,to so s.t. in large numbers or cooperatively,pabua ruma di:di:,"to cause a house to arise, to erect a house",,,,,,,,,,,,,,"pabua rame-rame \df to celebrate, to hold a party \crm  bei \crm  pabuat akang \crm  parbuatang"
3183,pabuat akang,verb,"to complete some process, to work on s.t. already begun, to prepare some food for someone, to cook a particular dish for someone",tapabuat akang bo rumanta,Let us work it up into material for our houses (said of trees,,,,,,,,,,,,,,culinary,,"pabua, parbuatang",,
3184,pabuti:,verb,to make s.t.,,,,,,,,,,,,,,,,,,,pabuti: akang,
3185,pabuti:,verb,to make s.t. for someone,,,,,,,,,,,,,,,,,,,,
3186,paca,verb,"to shatter s.t., to break open",manuk tala mupaca tolura ia,The chick has broken its eggshell,,,,,,,,,,,,,,,,,,
3187,paca,intransitive verb,to burst (e.g. of a blister or boil on the skin),,,,,,,,,,,,,,,,,,,paca:kang,
3188,paca,transitive verb,to cause to shatter,,,,,,,,,,,,,,,,,,,napaca,
3189,paca,intransitive verb,shattered (of an egg etc.),,,,,,,,,,,,,,,,,,mamaca,,
3190,pacai-cai,,,,,,,,,,,,,,,,,,,,cai,,
3191,pacaminang,noun,"looking-glass, mirror, codeword for outsider or stranger",,,,,,,,,,,,,,,,,,,,
3192,pacucuang,,,,,,,,,,,,,,,,,,,,cucu,,
3193,pacul,noun,mattock,,,,,,,,,,,,,,,,tool,,,bapacul,
3194,pacul,intransitive verb,to work with a mattock,,,,,,,,,,,,,,,,,,,,
3195,pacál,noun,kind of food made with boiled vegetables served with a peanut sauce <salad>,,,,,,,,,,,,,,,,,,,,
3196,pada,preposition,"at, during",pada waktu japang tama,at the time the Japanese arrived,,,,,,,,,,,,,,,,,,
3197,padadi,,,,,,,,,,,,,,,,,,,,dadi,,
3198,padahal,conjunction,"whereas, on the other hand",,,,,,,,,,,,,,,,,,,,
3199,padamara,noun,"lamp, lantern",,,,,,,,,,,,,,,,utensil,,,,
3200,padas,intransitive verb,hot (of the sun),,,,,,,,,,,,,,,,,,,,
3201,padas,noun,heat (of the sun),,,,,,,,,,,,,,,,,,,,"padas taina \df flaking or peeling skin due to exposure to the sun \af  bapadas \ps  vi \df to feel hot, to feel the heat \af  padas-padas \ps  vi \df very hot, hot for extended period of time \crm  ujang napada-padasa"
3202,padat,intransitive verb,compact,,,,,,,,,,,,,,,,,,,bapadatang,
3203,padat,intransitive verb,to have become excessively firm,,,,,,,,,,,,,,,,,,,papadati,
3204,padat,verb,"to make s.t. compact, to firm s.t. up",itu di babat dalama itu musi papadati kapé i:,That which is already in the sago container must be firmed up or what?,,,,,,,,,,,,,,,,,,
3205,padede,intransitive verb,over-ripe,,,,,,,,,,,,,,,,,,,,
3206,padidi akang,,,,,,,,,,,,,,,,,,,,didi,,
3207,paga,,,,,,,,,,,,,,,,,,,,manupaga,,
3208,pagal,intransitive verb,lazy,ma mampo moyo tala pagal,He was unable,he had become lazy,,pagala,His laziness! (He is extraordinarily lazy),,,,,,,,,,,,,,
3209,pago,noun,rack (above a hearth),,,,,,,,,,,,,,,,utensil,,,,
3210,pahaga-haga,,,,,,,,,,,,,,,,,,,,haga,,
3211,pahe,intransitive verb,"to be stubborn, to be ornery",,,,,,,,,,,,,,,,,,,,
3212,paikatang,,,,,,,,,,,,,,,,,,,,ikat,,
3213,paingani,verb,"to lighten s.t., to reduce the weight of s.t.",paingani hadiki pasasa:ng paotang laku,Please lighten this pile of clothes,it's too,,,,,,,,,,,,,,,ingang,,
3214,painggap,,,,,,,,,,,,,,,,,,,,inggap,,
3215,pairuk,noun,kind of earthenware pot with curving side,,,,,,,,,,,,,,,,utensil,,,,"pairuk besi \df kind of metallic pot, pairuk lecak \df kind of earthenware pot \crm  katang \sf  utensil"
3216,paisu,noun,water,,,,,,,,,,,,,,,,,,,,"paisu muja-muja \df fragrant water, water with bits of flower in it <perfume>, paisu sambeang \df water for ritual ablutions \sf  spiritual \df body of water, e.g. river \sf  nat phen, paisu ra: \df river \sf  geography, paisu masing \df sea (water), paisu matana \df spring, paisu matina \df blocked water, stagnant water, paisu soli \df rising tide \sf  nat phen, paisu tur \df ebbing tide, paisu turung \df ebb tide \sf  nat phen \df beverage \il  paisu angat  a hot beverage, usually tea \af  bapaisu \ps  vi \df to be watery (of sago porridge) or watered down (of tea)"
3217,pait,,,,,,,,,,,,,,,,,,,,papait,,
3218,pajajuar,verb,"to crash against s.t., to repeatedly strike s.t.",,,,,,,,,,,,,,,,,,,,
3219,palita,noun,kind of rice flour cake with coconut cream steamed in banana leaf containers,,,,,,,,,,,,,,,,food,,,,
3220,palombuti,,,,,,,,,,,,,,,,,,,,lombut,,
3221,palu,noun,o'clock,palu sabua,one o'clock,,,,,,,,,,,,,,,,,,
3222,palu,verb,to strike,,,,,,,,,,,,,,,,,,,palui,
3223,palu,verb,to strike s.t. (a drum) for someone,,,,,,,,,,,,,,,,,,,palu-palu,
3224,palu,noun,"about the hour of, more or less at a certain time",palu-palu tolu,about 3 o'clock,,,,,,,,,,,,,,,,,,
3225,palumbang,intransitive verb,"not properly ripe, over-ripe (of durian)",,,,,,,,,,,,,,,,,,"masak, durian bapalumbang",,
3226,palumbarang,,,,,,,,,,,,,,,,,,,,lumbar,,
3227,palu-palu dang,noun,cuspidor,,,,,,,,,,,,,,,,,,,,
3228,pamakanang,,,,,,,,,,,,,,,,,,,,makanang,,
3229,pamareang,noun,"seaside, shore",,,,,,,,,,,,,,,,geography,,"pare:, sawang, katang",,
3230,pamarenta,noun,government,,,,,,,,,,,,,,,,,,,,
3231,pamariang,,,,,,,,,,,,,,,,,,,,pamareang,,
3232,pamasaki,,,,,,,,,,,,,,,,,,,,masak,,
3233,pamasik,noun,"rice, paddy,, cooked rice",,,,,,,,,,,,,Oryza sativa,,,plant,,,,
3233,pamasik,noun,"rice, paddy,, cooked rice",,,,,,,,,,,,,Oryza sativa,,,food,,,,
3234,pambulu,,,,,,,,,,,,,,,,,,,,pamulu,,
3235,pamicaki,verb,"to repair (broken furniture, a machine, etc.), to tidy s.t., to straighten s.t. up (e.g. to make the bed)",,,,,,,,,,,,,,,,,,,bapamicaki,
3236,pamicaki,intransitive verb,to be in the process of repairing or setting up s.t.,Kami bapamicaki pau,We were setting up the sago processing apparatus,,,,,,,,,,,,,,,,,,
3237,paminycaki,,,,,,,,,,,,,,,,,,,,pamicaki,,
3238,pamopotang,,,,,,,,,,,,,,,,,,,,popot,,
3239,pampang,noun,kind of forked accessory of a boat on which fishing poles are held in place,,,,,,,,,,,,,,,,tool,,,,
3239,pampang,noun,kind of forked accessory of a boat on which fishing poles are held in place,,,,,,,,,,,,,,,,boat,,,,
3240,pampang,noun,"k.o fish, the coronation trout or lunar-tailed rock cod,",,,,,,,,,,,,,Variola louti,,,fish,,,,
3241,pampenyju,noun,"kind of land turtle, perhaps the",,,,,,,,,,,,,Cyclemys amboinensis,,,animal,,penyu,,
3242,pampis,verb,to recook fish by shredding and sauteing it with spices and tomatoes,,,,,,,,,,,,,,,,,,,,
3243,pampisang,noun,kind of flat grinding stone on which spices are ground with a heavy rolling device,,,,,,,,,,,,,,,,,,pampis,,
3244,pampu,noun,"a hook, prepared with a lure",,,,,,,,,,,,,,,,fishing,,,,
3245,pampuang,noun,house,,,,,,,,,,,,,,,court,,,ompu,,
3246,pampulang,noun,stem (of clove or fruit),,,,,,,,,,,,,,,,,,,,
3247,pamula:ng,noun,"rope tied to form handles or gripping places, a rope which has snapped and been joined to another",,,,,,,,,,,,,,,,,,mula,,
3248,pamulu,noun,a large predator fish in pursuit of a school of fish,,,,,,,,,,,,,,,,,,pulu,,
3249,pamuluna,,,,,,,,,,,,,,,,,,,,pamulu,,
3250,pamusu akang,,,,,,,,,,,,,,,,,,,,musu,,
3251,pamusukang,noun,kind of plaited sifting basket used to pulverize and sift sago flour <sifter>,,,,,,,,,,,,,,,,utensil,,"pambusukang, lalasang",,
3251,pamusukang,noun,kind of plaited sifting basket used to pulverize and sift sago flour <sifter>,,,,,,,,,,,,,,,,sago,,"pambusukang, lalasang",,
3252,pana,verb,to shoot at someone with a bow,Kupana ia.,I shot her (with a bow).,,,,,,,,,,,,,,,,,panai,
3253,pana,verb,to shoot a bow at someone,,,,,,,,,,,,,,,,,,,pana-pana,
3254,pana,noun,bow,,,,,,,,,,,,,,,,,,,,pana-pana anaka \df arrow
3255,panada,noun,kind of savory ball-shaped cake containing fish and herbs,,,,,,,,,,,,,,,,,,,,
3256,panam bau,noun,"kind of fragrant pandanus,",,,,,,,,,,,,,"Pandanus  , the leaves of which are used as a",,,plant,,,,
3257,panambahang,noun,"addition, supplement",,,,,,,,,,,,,,,,,,tamba,,
3258,panamboang,noun,a place near Labuha,,,,,,,,,,,,,,,,,,,,
3259,pananggungang,,,,,,,,,,,,,,,,,,,,tanggung,,
3260,panasi akang,transitive verb,"to trim the thorns from a durian fruit, to trim the husk from a young coconut",,,,,,,,,,,,,,,,,,kindang,,
3261,panasta:,noun,threshold,,,,,,,,,,,,,,,,house,,,,
3262,panat,intransitive verb,"to feel numb (of folded limbs), to suffer from cramps",Tioku panat.,My leg is numb.,,,,,,,,,,,,,,,,,,
3263,panaulang,noun,the iron or wood framework against which the bamboo tubes of food (esp.,,,,,,,,,,,,,,,,utensil,,,,
3263,panaulang,noun,the iron or wood framework against which the bamboo tubes of food (esp.,,,,,,,,,,,,,,,,culinary,,,,
3264,panauliang,,,,,,,,,,,,,,,,,,,,tauli,,
3265,pandak,intransitive verb,short (esp. of stature),calana pandak,shorts (short pants),,,,,,,,,,,,,,,,,papandaki,
3266,pandak,verb,to shorten s.t.,Papandaki celana itu hadiki,Shorten those pants a little,,,,,,,,,,,,,,,,,,
3267,pandapat,,,,,,,,,,,,,,,,,,,,mandapat,,
3268,pandapatang,noun,income,,,,,,,,,,,,,,,,,,dapat,,
3269,pandunguna,noun,kind of tutelary spirits associated with certain places <guardian>,pandunguna lipu,guardian of the village,benteng pandunguna,the spirit of the fort,,,,,,,,,,,,spiritual,,,,
3270,paneti,,,,,,,,,,,,,,,,,,,,kolouno paneti,,
3271,panialang,,,,,,,,,,,,,,,,,,,,tial,,
3272,paniki,noun,"fruitbat, bat, order Chiroptera",,,,,,,,,,,,,,,,animal,,,,paniki ra:-ra: \df kind of bat \sf  animal
3273,panili,noun,"kind of plant, a climbing orchid, the beans of which are extracted to yield the flavoring",,,,,,,,,,,,,Vanilla planifolia,,,plant,,,,
3274,panintiang,,,,,,,,,,,,,,,,,,,,panitiang,,
3275,pani-panijakang,,,,,,,,,,,,,,,,,,,,tijak,,
3276,panitiang,,,,,,,,,,,,,,,,,,,,titi,,
3277,pano,noun,"kind of skin fungus, esp.",,,,,,,,,,,,,"Tinea flava, which causes light spots on the skin  surface, <disease>",,,health,,,,
3278,panolurang,,,,,,,,,,,,,,,,,,,,tolur,,
3279,pantak,verb,"to pierce someone or s.t. with a sharp point (e.g. thorns),to sting someone (of fish with",lao kuring-kuring itu mupantak aku,That kuring-kuring fish pricked me,,,,,,,,,,,,,,,,,,
3280,pantáng,verb,to make s.t. taut,,,,,,,,,,,,,,,,,,,,
3281,pantas,particle,"no wonder, it makes sense",,,,,,,,,,,,,,,,,,,,
3282,pantung,noun,"pantoum, kind of rhymed verse",,,,,,,,,,,,,,,,,,,bapantung,
3283,pantung,intransitive verb,to recite such poetry,,,,,,,,,,,,,,,,,,,,
3284,panuar,noun,"kind of tree of the spurge family bearing a nut, the kernels of which are used for",,,,,,,,,,,,,Aleurites moluccana,,,culinary,,,,
3285,panunggu,,,,,,,,,,,,,,,,,,,,pandungu(na),,
3286,panupanurungang,,,,,,,,,,,,,,,,,,,,turung,,
3287,panurungang,,,,,,,,,,,,,,,,,,,,turung,,
3288,panutukang,,,,,,,,,,,,,,,,,,,,tutuk,,
3289,pang,noun,"pot, pan",paisu sapáng,a pot of water,,,,,,,,,,,,,,utensil,,,,
3290,pangabisang,noun,"the end, completion",,,,,,,,,,,,,,,,,,,,
3291,pangaji akang,verb,to recite the Quran on someone's behalf or at another's request,,,,,,,,,,,,,,,,spiritual,,"mangaji, bangaji",,
3292,pangakuang,noun,"admission (of responsibility or guilt), agreement, accord",,,,,,,,,,,,,,,,,,,,
3293,panganting,noun,the bride and groom,,,,,,,,,,,,,,,,,,,,"panganting bini-bini \df bride, panganting laki-laki \df groom"
3294,pangao,intransitive verb,to agree voicelessly with a nod of the head or a facial gesture,,,,,,,,,,,,,,,,,,mangaku,,
3295,pangarang,noun,kind of cloud,,,,,,,,,,,,,,,,natural phenomenon,,awang,,
3296,pangga,noun,"kind of fish, the Spotted mackerel,",,,,,,,,,,,,,Sawara niphonia,,,fish,,,,
3297,panggal,verb,to cut s.t. into chunks,tala mupanggal lao ka bolung,Have you cut the fish into pieces or not?,,,,,,,,,,,,,,,,,panggali,
3298,panggal,verb,to cut s.t. specified into pieces,,,,,,,,,,,,,,,,,,,panggal akang,
3299,panggal,verb,to cut s.t. at another's request,,,,,,,,,,,,,,,,,,,panggali akang,
3300,panggal,verb,to cut s.t. specified for someone else,,,,,,,,,,,,,,,,,,,bapanggal,
3301,panggal,intransitive verb,to be engaged in cutting and chopping,Si sapino bapanggal kayu,Sapino is working at chopping wood,,,,,,,,,,,,,,,,,napanggal,
3302,panggal,intransitive verb,to be cut into pieces,,,,,,,,,,,,,,,,,,,hapanggal,
3303,panggal,noun,"a piece, a chunk",,,,,,,,,,,,,,,,,,,,
3304,panggang,verb,to roast s.t. on a grill,,,,,,,,,,,,,,,,,,,,panggang rica \df kind of culinary preparation in which the fish is roasted and then mixed with a spicy sauce \sf  culinary \crm  ndule
3305,panggil,verb,to call someone,,,,,,,,,,,,,,,,,,,bapanggil,
3306,panggil,intransitive verb,"to be engaged in calling, to invite",yo bapanggil papá ka lau,"Yes, you should be calling Dad over here.",,,,,,,,,,,,,,,,,bapabapanggilang,
3307,panggil,intransitive verb,to call or invite e.o.,,,,,,,,,,,,,,,,,,,,
3308,pangija:ng,noun,slumber,,,,,,,,,,,,,,,,,,,,
3309,pangkat,noun,rank,,,,,,,,,,,,,,,,society,,,,
3310,pangko,transitive verb,to hold s.t. in the lap,,,,,,,,,,,,,,,,,,,pangkoi,
3311,pangko,verb,to hold s.t. or someone in the lap for someone,,,,,,,,,,,,,,,,,,,pangkoi akang,
3312,pangko,verb,to hold s.t. at someone's request,,,,,,,,,,,,,,,,,,,pangko akang,
3313,pangko,verb,to hold s.t. on the lap at someone's request,,,,,,,,,,,,,,,,,,,bapangko,
3314,pangko,intransitive verb,to take o.'s seat on someone's lap,,,,,,,,,,,,,,,,,,,,bapangko tiol \sf  to sit with o.'s foot resting on o.'s thigh
3315,panglí,,,,,,,,,,,,,,,,,,,,duriang panglu/,,
3316,pangoap,intransitive verb,to yawn,,,,,,,,,,,,,,,,,,,,
3317,pangota,noun,"caulking for a boat, made from arenga palm fiber",,,,,,,,,,,,,,,,boat,,,,
3317,pangota,noun,a codeword for sago bread,,,,,,,,,,,,,,,codename,sago,,,,
3318,pangumumang,noun,announcement,,,,,,,,,,,,,,,,,Indonesian,,,
3319,panyaket,noun,disease,,,,,,,,,,,,,,,,health,,,,
3320,panyaket,exclamation,"shoot!, an exclamation of mild disparagement",,,,,,,,,,,,,,,,,,,,"panyaket anging \df a disease which causes dark round blemishes on the skin \sf  health, panyaket jat \df serious disease, usually caused by sorcery \sf  health \sf  spiritual"
3321,panyakulang,,,,,,,,,,,,,,,,,,,,sakul,,
3322,panyamit,transitive verb,to chew on s.t.,,,,,,,,,,,,,,,,,,,,
3323,panyamit,intransitive verb,to make chewing noises,,,,,,,,,,,,,,,,,,,panyamit akang,
3324,panyamit,verb,to make chewing noises at someone,ipanyamit akang kita tu,He is making those chomping noises at us (in our presence),,,,,,,,,,,,,,,,,,
3325,panyaputang,,,,,,,,,,,,,,,,,,,,saput,,
3326,panycar,,,,,,,,,,,,,,,,,,,,,panycari,
3327,panycar,verb,"to spray s.t., to scatter s.t.",,,,,,,,,,,,,,,,,,,panycar akang,
3328,panycar,verb,"to spray s.t., to splash someone",,,,,,,,,,,,,,,,,,,bapanycar,
3329,panycar,intransitive verb,to be engaged in splashing and spraying,,,,,,,,,,,,,,,,,,,bapanycar-panycar,
3330,panycar,intransitive verb,to be separated or scattered,,,,,,,,,,,,,,,,,,,napanycar,
3331,panycar,intransitive verb,"to be sprayed about, to be scattered out",,,,,,,,,,,,,,,,,,,,
3332,panycungut,noun,"witch, sorcerer",,,,,,,,,,,,,,,,spiritual,,uru panycungut,,
3333,panyjaga masigit,noun,caretaker of the mosque,,,,,,,,,,,,,,,,,,,,
3334,panyjaga:ng,noun,guard,,,,,,,,,,,,,,,,,,jaga,,
3335,panyjampatang,noun,"cross-beams which provide horizontal support for house walls, ventilation louvers which are placed at the higher reaches of walls",,,,,,,,,,,,,,,,,,sampat,,
3336,panyjanyjilat,noun,"kind of <insect> annelid worm, apparently a leech, class Hirudinea",,,,,,,,,,,,,,,,insect,,jilat,,
3337,panyjulus,noun,"womanizer, a man who frequently marries or engages in extramarital affairs",,,,,,,,,,,,,,,,,,,,
3338,panyól,intransitive verb,to whistle,,,,,,,,,,,,,,,,,,,panyóli:,
3339,panyól,verb,to whistle at someone (to scare someone or attract someone's attention),,,,,,,,,,,,,,,,,,,bapanyól,
3340,panyól,intransitive verb,to whistle continuously,,,,,,,,,,,,,,,,,,,,
3341,panyut-nyut,intransitive verb,"to make sucking noises, to draw in the breath sharply (because of eating s.t. spicy)",,,,,,,,,,,,,,,,,,,,
3342,paocoang,intransitive verb,lazy,,,,,,,,,,,,,,,,,,,,
3343,paokop,,,,,,,,,,,,,,,,,,,,okop,,
3344,pao-pao,noun,"kind of cloth money pouch worn around the waist under o.'s clothing, formerly used by",,,,,,,,,,,,,,,archaic,clothing,,,,
3345,paotang,intransitive verb,heavy,,,,,,,,,,,,,,,,,,,paotangi,
3346,paotang,verb,to increase the weight of s.t.,paotangi pananggungang,to increase the weight of what is borne with a carrying pole,,,,,,,,,,,,,,,,,papaotang,
3347,paotang,noun,"a burden, a heavy weight",,,,,,,,,,,,,,,,,,,,
3348,paotangang,noun,kind of chest used to store clothes,,,,,,,,,,,,,,,,,,paotang,,
3349,papá,noun,father,papángku,my father,,,,,,,,,,,,,,kinship,,pa,,
3350,papaceda,noun,"kind of seashore tree of the dogbane family,",,,,,,,,,,,,,Cerbera manghas,,,plant,,,,
3351,papai,conjunction,"as long as, as far as that goes, as for that",Itu papai taasapi majang-majang.,That is so as long as we smoke them very well.,Yo: papai kita taeti kita indaya malailaing.,"Well, as for that, we don't know",we in the,,,,,,,,,,,,,,,
3352,papait,noun,"shipment, gift (sent to someone)",,,,,,,,,,,,,,,,,,,papaiti,
3353,papait,verb,to send someone s.t.,adaing basaláng kau mubalas mena kupapaiti dang suratku ka lau,Later when you,,,,,,,,,,,,,,,,,papait akang,
3354,papait,transitive verb,to send s.t. at someone's request,cece lupa papait akang habár,Don't forget to send news,,,,,,,,,,,,,,,,,,
3355,papak,verb,to chew,,,,,,,,,,,,,,,,,,,papaki,
3356,papak,verb,to chew s.t. for someone (e.g. an infant),inana mupapaki nggaeka bo anaka,Her mother chewed a banana for her child,,,,,,,,,,,,,,,,,papaki akang,
3357,papak,verb,to chew s.t. for someone at someone's request,,,,,,,,,,,,,,,,,,,papak akang,
3358,papak,verb,to chew s.t. at someone's request,,,,,,,,,,,,,,,,,,,bapapak,
3359,papak,intransitive verb,to engage in chewing at s.t. (e.g. hard sago bread),,,,,,,,,,,,,,,,,,,,
3360,papandaki,,,,,,,,,,,,,,,,,,,,pandak,,
3361,papang,noun,"thwart seat, sawn lumber, board, plank",,,,,,,,,,,,,,,,boat,,,,papang bapopot \df cutting board \crm  popot \af  papangi \ps  v \df to affix a board to the side of a boat to increase its capacity
3362,papar,,,,,,,,,,,,,,,,,,,,,,"papar buok \df to clip the hair erratically, to cut off chunks of the hair (as a punishment) \af  papar akang \ps  v \df to crash into or pound against s.t. (of waves) \il  Suru-surung itu mupapar akang nyjong habua sigodo nabulus.  The surf pounded that boat till it sprang a leak. \af  napapar \ps  vi \df to break on the shore (of waves)"
3363,paparangang,noun,war,,,,,,,,,,,,,,,,,,para/ng,,
3364,papartama,,,,,,,,,,,,,,,,,,,,partama,,
3365,papat,,,,,,,,,,,,,,,,,,,,lumba-lumba papat,,
3366,papat-papat,adverb,"straight ahead, without looking left or right (when walking)",,,,,,,,,,,,,,,,,,,,
3367,papatu,noun,boat building adze,,,,,,,,,,,,,,,archaic,tool,,,,
3368,papenter,noun,"kind of small bat, order Chiroptera",,,,,,,,,,,,,,,,,,,,
3369,papi:,noun,"kind of fish, the butterfish,",,,,,,,,,,,,,"Selenotoca multifasciata or the three-, Heniochus permutatus",,,fish,,,,"papi: bor \df kind of fish, the long-finned batfish, \sn Platax pinnatus \sf  fish"
3370,papoa,,,,,,,,,,,,,,,,,,,,minyak,,
3371,papoa-poa,intransitive verb,new,,,,,,,,,,,,,,,,,,baru,,
3372,papoa-poa,adverb,recently,,,,,,,,,,,,,,,,,,,,
3373,papoas,noun,mud nest of a crab,,,,,,,,,,,,,,,,,,,,
3374,paposong,,,,,,,,,,,,,,,,,,,,posong,,
3375,papua,noun,slave,,,,,,,,,,,,,,,archaic,society,,,,
3376,papulas,,,,,,,,,,,,,,,,,,,,pulas,,
3377,para,particle,"with the sole purpose of, merely to",Cece kau ka sana para pabua baingar.,Don't you go there just to make a lot of noise.,Aku para batikang ga jalang-jalang pabua ruma,I want simply to tell you the ways to,,,,,,,,,,,,,,,,
3378,pará,noun,thigh,,,,,,,,,,,,,,,,body,,,,"para/ pokona \df haunch, upper thigh \sf  body"
3379,parabut,noun,household goods and furnishings,,,,,,,,,,,,,,,,,,,,
3380,paramasang,,,,,,,,,,,,,,,,,,,,ramas,,
3381,paramatoli,noun,carpet beater,,,,,,,,,,,,,,,,,,,,
3382,paranak akang,,,,,,,,,,,,,,,,,,,,anak,,
3383,paranakang,noun,nuclear family,,,,,,,,,,,,,,,,kinship,,anak,saparanakang,
3384,paranakang,noun,"o. family, i.e. related within a single nuclear family of father, mother and child(ren), a family group, e.g. a father or mother with his or her child or children",,,,,,,,,,,,,,,,kinship,,,paraparanakang,
3385,paranakang,noun,womb,,,,,,,,,,,,,,,,body,,saparanakang,,
3386,parandangi,,,,,,,,,,,,,,,,,,,,randang,,
3387,paraningkot,verb,to stand on tip toes to see s.t.,,,,,,,,,,,,,,,archaic,,,,baparaningkot,
3388,paraningkot,intransitive verb,to stand on tip toes,,,,,,,,,,,,,,,,,,"maningkot, tingkot",,
3389,paráng,noun,war,,,,,,,,,,,,,,,,,,,,
3390,paranggang,intransitive verb,juvenile (of animals),,,,,,,,,,,,,,,,,,,,
3391,parang-parang,noun,the lower part of the facial cheeks,,,,,,,,,,,,,,,,body,,manu-manuk,,
3392,pararawit,intransitive verb,to weep and wail with extreme emotion,,,,,,,,,,,,,,,,,,,,
3393,paras,numeral classifier,"stack, counter of twenty-five pieces of thatch",,,,,,,,,,,,,,,,,,,,
3394,parat,intransitive verb,salty,,,,,,,,,,,,,,,,,,,parati,
3395,parat,verb,"to add salt to s.t., to increase the saltiness of s.t.",,,,,,,,,,,,,,,,,,,parat-parat,
3396,parat,intransitive verb,very salty,,,,,,,,,,,,,,,,,,masing,,
3397,parawang,noun,"hymen, virgin (of females)",,,,,,,,,,,,,,,,body,,,,
3398,parbuatang,noun,"deed, action, behavior",Parbuatangmu aku tama de akal mo.,I can't accept your doings as rational.,,,,,,,,,,,,,,,,,baparbuatang,
3399,parbuatang,intransitive verb,to be characterized by a certain deed or behavior,Song haiku baparbuatang dumi-dumik dapa jatina.,Because of one person's behavior,,,,,,,,,,,,,,,,,,
3400,parcaya,verb,"to believe, to trust",,,,,,,,,,,,,,,,,,,parcayai,
3401,parcaya,verb,to place trust in someone,Kuparcayai kau nang surat ini.,I place my trust in you with respect to this letter.,,,,,,,,,,,,,,,,,parcayakang,
