no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
2107,korat,noun,"kind of tuna, the little tuna or bonito",,,,,,,,,,,,,Euthynnus alletteratus affinis,,,fish,,,,,,FALSE
2108,korbo:₁,noun,"water-buffalo, someone stupid, a fool",,,,,,,,,,,,,Bubalus bubalis,,,,,,,,,FALSE
2108,korbo:₂,noun,"someone stupid, a fool",,,,,,,,,,,,,,,,,,,,,,FALSE
2109,kore,verb,"to dig something, to touch someone, to poke someone (slightly)",ompu ruma ma kore imba:,The rats will dig from below.,,,,,,,,,,,,,,,,,,,,FALSE
2110,koroniong,noun,"kind of cephalopod, the chambered Nautilus",,,,,,,,,,,,,Nautilus pompilius,,,sea creature,,,,,,FALSE
2111,koru₁,,,,,,,,,,,,,,,,,,,,,koru akang,,,FALSE
2112,koru₂,verb,"to cloud something, to make (water) turbid (by stirring it, etc.)",,,,,,,,,,,,,,,,,,,bakoru,,,FALSE
2113,koru₃,intransitive verb,"clouded, turbid (of water)",,,,,,,,,,,,,,,,,,,,,,FALSE
2114,korán,,,,,,,,,,,,,,,,,,,,kura/n,,,,FALSE
2115,kos,noun,T-shirt,,,,,,,,,,,,,,,,,,,,"kos kaki \df stocking, sock, kos padamara \df mantle of a pressurized lamp",,FALSE
2116,koso,transitive verb,"to rub something (flour, etc.) against a cheesecloth",,,,,,,,,,,,,,,,culinary,,,,,,FALSE
2117,kosong,intransitive verb,"empty, non-existent, none",Nyjong imbawa kosong.,There are no boats there.,,,,,,,,,,,,,,,,,,,,FALSE
2118,kota,noun,fortification,amasing kota,the northeastern side of Labuha town,,,,,,,,,,,,,archaic,,,,,,,FALSE
2119,kotang,noun,"undershirt, camisole",,,,,,,,,,,,,,,,,,,,,,FALSE
2120,kote-kote₁,noun,kind of plant,,,,,,,,,,,,,Bridelia,,,plant,,,,,,FALSE
2121,kote-kote₂,,,,,,,,,,,,,,,,,,,,kokote/,,,,FALSE
2122,kotel,intransitive verb,stunted (of something's or someone's growth),,,,,,,,,,,,,,,,,,,,,,FALSE
2123,kotong,noun,"kind of fish, the grouper or groper",,,,,,,,,,,,,Epinephelus lanceolatus,,,fish,,,,,,FALSE
2124,koya-koya,adverb,"fast, quickly",,,,,,,,,,,,,,,,,,,,,,FALSE
2125,kowor,noun,kind of cup or mug made of bamboo usually used to drink palm wine,,,,,,,,,,,,,,,archaic,,,,,,,FALSE
2126,-ku,pronoun,my,,,,,,,,,,,,,,first person singular genitive marker,,,,"-iku, -ngku",,,,FALSE
2127,ku-,pronoun,,dangang kulia,I see,aku kudanga habár,I heard some news.,,,,,,,,,,marker of first person singular for transitive verbs,,,,,,,,FALSE
2128,kua₁,noun,"sauce, gravy",,,,,,,,,,,,,,,,,,,bakua,,,FALSE
2129,kua₂,intransitive verb,to be served with a sauce,,,,,,,,,,,,,,,,,,,bakua-kua,,,FALSE
2130,kua₃,intransitive verb,to be served with much sauce,cece pabua lampang bakua-kua,Don't make the vegetable with so much liquid (sauce).,,,,,,,,,,,,,,,,,,,,FALSE
2131,kuasa,noun,"power, authority",,,,,,,,,,,,,,,,,,,,,,FALSE
2132,kubak,noun,a mortar-like device to pound betel,,,,,,,,,,,,,,,,,,,,,,FALSE
2133,kubur₁,noun,grave,,,,,,,,,,,,,,,,,,,kuburi,,,FALSE
2134,kubur₂,verb,to bury someone,,,,,,,,,,,,,,,,,,,kubur akang,,,FALSE
2135,kubur₃,verb,to bury someone at someone's request ..bakubur,,,,,,,,,,,,,,,,,,,,,,FALSE
2136,kubur₄,intransitive verb,"to engage in grave-digging, to be buried",,,,,,,,,,,,,,,,,,,,,,FALSE
2137,kudis₁,noun,scabies,,,,,,,,,,,,,,,,health,,,bakudis,,,FALSE
2138,kudis₂,intransitive verb,to suffer from scabies and similar skin diseases,,,,,,,,,,,,,,,,,,,bakudis-kudis,,,FALSE
2139,kudis₃,intransitive verb,to suffer from a severe case of skin disease,,,,,,,,,,,,,,,,,,,,,,FALSE
2140,kudu-kudu,noun,burning faggot,,,,,,,,,,,,,,,,,,,,,,FALSE
2141,kudung,noun,"shawl, scarf worn by women, the veil, worn by some Muslim women, which exposes only the face",,,,,,,,,,,,,,,,,,cipo,,,,FALSE
2142,kui mangko,noun,kind of steamed cupcake,,,,,,,,,,,,,,,,food,,,,,,FALSE
2143,kuisi,noun,"kind of fish, kind of bream",,,,,,,,,,,,,Nemipterus upeneoides,,,,,,,,,FALSE
2144,kuku,,,,,,,,,,,,,,,,,,,,molo-molo kuku,,,,FALSE
2147,kukuhi,intransitive verb,to collect bit by bit and then sell,,,,,,,,,,,,,,,,,,,,,,FALSE
2148,kukuhua₁,ideophone,sound of rooster crowing,,,,,,,,,,,,,,,,,,,bakukuhua,,,FALSE
2149,kukuhua₂,intransitive verb,to crow,,,,,,,,,,,,,,,,,,,,,,FALSE
2150,kukuhua₃,,,,,,,,,,,,,,,,,,,,,bakukuhua,,,FALSE
2151,kukuhua₄,intransitive verb,to float on one's back,,,,,,,,,,,,,,,,,,,,,,FALSE
2152,kukurai,,,,,,,,,,,,,,,,,,,,lao,,,,FALSE
2153,kulat,noun,"fungus, mushroom, fam. Agaricaceae",,,,,,,,,,,,,,,,,,,,"kulat batang \df kind of fungus growing on dead branches, kulat bintang \df kind of ridge fungus, kulat ambulung \df kind of mushroom \sn Volvaria, kulat guntur \df kind of mushroom, kulat bongkona \df kind of mushroom, straw mushroom, \sn Volvariella volvacea, kulat payung \df kind of mushroom, the white mushroom, \sn Agaricus bisporus, kulat nggaeka \df kind of mushroom, \sn Volvaria \crm  kaladede \crm  talingang tikus",,FALSE
2154,kuli,,,,,,,,,,,,,,,,,,,,"kulit, lao kuli paser",,,,FALSE
2155,kuliling₁,verb,"to go around something, to encircle something <circumambulate>",,,,,,,,,,,,,,,,,,,kulilingi,,,FALSE
2156,kuliling₂,verb,to go around something for someone,alengo aku kulilingi lipo ni baumang nggaeka,Just now I went round the whole village,,,,,,,,,,,,,,,,,bakuliling,,,FALSE
2157,kuliling₃,intransitive verb,to engage in moving in circles,,,,,,,,,,,,,,,,,,,pakulilingi,,,FALSE
2158,kuliling₄,verb,to completely encircle something (for a specific purpose),,,,,,,,,,,,,,,,,,,,,,FALSE
2159,kulinycir₁,,,,,,,,,,,,,,,,,,,,,kulinycir akang,,,FALSE
2160,kulinycir₂,verb,to cause to slide quickly,,,,,,,,,,,,,,,,,,,nakulinycir,,,FALSE
2161,kulinycir₃,intransitive verb,"slippery, to have slipped",,,,,,,,,,,,,,,,,,,,,,FALSE
2162,kulit,noun,"skin, cover, exterior wrapping, bark (of tree)",kulimu,your skin,buk kulita,book cover,,,,,,,,,,,,,,,,,,FALSE
2163,kulung,,,,,,,,,,,,,,,,,,,,tabang kulung,,,,FALSE
2164,kulung-kaling,noun,ankle,,,,,,,,,,,,,,,,,,,,,,FALSE
2165,kumang₁,noun,"kind of small louse, germ",,,,,,,,,,,,,,,,insect,,,,,,FALSE
2165,kumang₂,noun,"kind of small louse, germ",,,,,,,,,,,,,,,,health,,,,,,FALSE
2166,kumatar,intransitive verb,"to be ill, to be sick, to shiver from malarial attacks",pasi kumatar sigodo bagarak,They're so sick they're shivering.,,,,,,,,,,,,,,health,,,,,,FALSE
2167,kumbar,noun,"sago midribs or petiole, esp. when dried",,,,,,,,,,,,,,,,sago,,,,,,FALSE
2168,kumis kucing,noun,various kind of plants,,,,,,,,,,,,,Orthosiphon spicatus,,,plant,,,,,,FALSE
2169,kumkím,noun,various kind of pigeons and doves <bird,,,,,,,,,,,,,Columbidae,,,bird,,,,"kumku/m nggoa \df kind of pigeon <bird>, fam. Columbidae \sf  bird, kumku/m puti \df kind of pigeon, \sn Ducula   <bird> \sf  bird, kumku/m ratu \df kind of pigeon, \sn Ducula   <bird> \sf  bird",,FALSE
2170,kunda,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,,,FALSE
2171,kundal,noun,kind of vegetable dish made of unripe bananas and coconut cream,,,,,,,,,,,,,,,,food,,,,,,FALSE
2172,kuning,,,,,,,,,,,,,,,,,,,,akar kuning,,,,FALSE
2173,kuntil,verb,to pinch someone or something,,,,,,,,,,,,,,,,,,sakuntil,,,,FALSE
2174,kunu,particle,"purportedly, it is said <quoth>, supposedly (of something reported but probably not true)",Kunu tala taurung.,He says he's hungry.,hasila ra: kita ini ni batikang kunu kalero itu hasil dikit,Its yield is great,but we here,,,,,,,,,quotative particle,,,,kata,,,,FALSE
2175,kung-kung,ideophone,"the sound made by a dog, the bark of a dog",,,,,,,,,,,,,,,,,,mano/ng,,,,FALSE
2176,kunyci₁,noun,key,,,,,,,,,,,,,,,,,,,kunyci akang,,,FALSE
2177,kunyci₂,verb,to lock something,,,,,,,,,,,,,,,,,,,,,,FALSE
2178,kunyit₁,intransitive verb,yellow,,,,,,,,,,,,,,,,,,,pakunyiti,,,FALSE
2179,kunyit₂,verb,"to yellow something, to increase the yellowness of something (e.g. paint being mixed)",,,,,,,,,,,,,,,,color,,kunyit,,,,FALSE
2180,kunyit₃,noun,"kind of rhizome (used as a spice), turmeric",,,,,,,,,,,,,Curcuma longa,,,plant,,kunyit,,,,FALSE
2181,kupang,noun,"coin, money",,,,,,,,,,,,,,,archaic,,,tikus kupang,,,,FALSE
2182,kupang-kupang,noun,"kind of woody plant, the candlestick cassia",,,,,,,,,,,,,Cassia alata,,,plant,,jaga sataru,,,,FALSE
2183,kupu-kupu,noun,"butterfly, order Lepidoptera",,,,,,,,,,,,,,,,insect,,kopo-kopo,,,,FALSE
2184,kurang₁,intransitive verb,"to fall short, to be insufficient",,,,,,,,,,,,,,,,,,,,,,FALSE
2185,kurang₂,adverb,less than,,,,,,,,,,,,,,,,,,,kurang akang,,,FALSE
2186,kurang₃,verb,to reduce something at someone's request,,,,,,,,,,,,,,,,,,,bakurang,,,FALSE
2187,kurang₄,intransitive verb,to become diminished,,,,,,,,,,,,,,,,,,,pakurangi,,,FALSE
2188,kurang₅,verb,"to diminish something, to reduce or lessen something",ipakurangi de laina barisi de laina,He diminishes in one area but in another area there is,,,,,,,,,,,,,,,,,kurang-kurang,,,FALSE
2189,kurang₆,particle,at least,,,,,,,,,,,,,,,,,,,kakurangang,,,FALSE
2190,kurang₇,noun,"shortage, shortfall",,,,,,,,,,,,,,,,,,,,,,FALSE
2191,kurang ajar₁,exclamation,Damn you!,,,,,,,,,,,,,,,,,,,,,,FALSE
2192,kurang ajar₂,intransitive verb,extremely rude,,,,,,,,,,,,,,,derogatory,,,,kura-kurang ajar,,,FALSE
2193,kurang ajar₃,intransitive verb,"immodest, off-color (of one's speech)",,,,,,,,,,,,,,,,,,,bakurang ajar,,,FALSE
2194,kurang ajar₄,intransitive verb,to behave improperly or immodestly,,,,,,,,,,,,,,,,,,,,,,FALSE
2195,kuranyci,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,,,FALSE
2196,kurap,noun,"kind of skin disease, ringworm, fungal disease caused by members of division",,,,,,,,,,,,,,,,health,,,,,,FALSE
2197,kurarap₁,,,,,,,,,,,,,,,,,,,,,bakurarap,,,FALSE
2198,kurarap₂,intransitive verb,to creep on one's belly,,,,,,,,,,,,,,,,,,,,,,FALSE
2199,kurcaci,noun,"kind of small spirit, gnome",,,,,,,,,,,,,,,,spiritual,,,,,,FALSE
2200,kuring-kuring,,,,,,,,,,,,,,,,,,,,lao kuring-kuring,,,,FALSE
2201,kuriwang,noun,sago bark,,,,,,,,,,,,,,,,sago,,,,,,FALSE
2202,kurung₁,verb,"to enclose, to imprison",Ia mukurung anasene de ruma.,He made his child stay at home.,,,,,,,,,,,,,,,,,bakurung,,,FALSE
2203,kurung₂,intransitive verb,"to stay at home, to be house bound",,,,,,,,,,,,,,,,,,,,bakurung umpang \df to enclose and catch bait-fish with nets \sf  fishing,,FALSE
2204,kurup₁,verb,to strangle someone with both hands,,,,,,,,,,,,,,,,,,"komos ler, sangal",kurup akang,,,FALSE
2205,kurup₂,verb,to strangle someone at another's request,,,,,,,,,,,,,,,,,,,bakurapang,,,FALSE
2206,kurup₃,intransitive verb,to strangle someone,,,,,,,,,,,,,,,,,,,,,,FALSE
2207,kurus,intransitive verb,thin,,,,,,,,,,,,,,,,,,,,,,FALSE
2208,kurán,noun,the Quran,,,,,,,,,,,,,,,,spiritual,,,,kuran dalama \df (in) a Quranic reading or recitation,,FALSE
2209,kusuk,transitive verb,"to pulverize something by pressing the heel of the palm against it, esp. sago flour through a, to rub vigorously by pressing down with the heel of the palm",kusuk pakeang,to rub laundry to remove stains,,,,,,,,,,,,,,,,,,kusuk mata \df to rub one's eyes (esp. with the heel of the palm) \af  kusuki \ps  v \df to rub or pulverize (by rubbing) something for someone \af  kusuki akang \ps  v \df to rub or pulverize something at someone's request \af  kusuk akang \ps  v \df to rub or pulverize something at someone's request \af  bakusuk \ps  vi \df to engage in rubbing \il  bakusuk baku to filter sago flour by forcing coarse flour through a sieve \crm  pambusukang,,FALSE
2210,kutil,noun,"freckle, birthmark, esp. of protruding fleshy growths, such as moles",,,,,,,,,,,,,,,,body,,,,,,FALSE
2211,kutuk,,,,,,,,,,,,,,,,,,,,bakutuk,,,,FALSE
2212,kuyap₁,intransitive verb,wrinkled (of clothes),,,,,,,,,,,,,,,,,,,nakuyap-kuyap,,,FALSE
2213,kuyap₂,intransitive verb,"wrinkled up, full of wrinkles, matted (of hair)",Buoka ia nakuyap-kuyap.,His hair is matted.,,,,,,,,,,,,,,,,,,,,FALSE
2214,kwas₁,noun,paintbrush,,,,,,,,,,,,,,,,,,,bakwas,,,FALSE
2215,kwas₂,intransitive verb,"to apply whitewash, to paint",,,,,,,,,,,,,,,,,,,,,,FALSE
2216,la,vetitive,don't,La kau muala,Don't take it,,,,,,,,,,,,,,,,cece,,,,FALSE
2217,la:,particle,so then,Muala pondoku la: kusasa.,Get my shirt so I can wash it.,,,,,,,,,,,,,,,,,,,,FALSE
2218,labung,noun,squash,,,,,,,,,,,,,Cucurbita,,,plant,,,,"labung mbulat \df pumpkin or winter squash, \sn Cucurbita moschata \sf  plant, labung tinggi \df kind of long squash \sf  plant",,FALSE
2219,labu₁,noun,"certain kind of squash and chayote, Cucurbitaceae",,,,,,,,,,,,,,,,plant,,,,"labu siang \df chayote, \sn Sechium edule \sf  plant",,FALSE
2220,labu₂,,,,,,,,,,,,,,,,,,,,,labu akang,,,FALSE
2221,labu₃,transitive verb,to anchor something,Mulabu akang nyjong itu inycana.,Anchor the boat there.,,,,,,,,,,,,,,,,,balabu,,,FALSE
2222,labu₄,intransitive verb,to be anchored,,,,,,,,,,,,,,,,,,,labuang,,,FALSE
2223,labu₅,noun,anchorage,,,,,,,,,,,,,,,,,,,,,,FALSE
2224,labur₁,transitive verb,to smear,,,,,,,,,,,,,,,,,,,laburi,,,FALSE
2225,labur₂,transitive verb,"to smear (oil, etc.) on to something",,,,,,,,,,,,,,,,,,,,,,FALSE
2226,lacup₁,verb,to pass by,manusia ka daya balapetak ilarang pauli mo lacup,Persons going inland to work at their,,,,,,,,,,,,,,,,,,,,FALSE
2227,lacup₂,particle,already past (of events),Oras jamangku skola daulu tala lacup.,My schooling days are past.,,,,,,,,,,,,,,,,,,lacup dari itu \df after that \af  lacupi \ps  vt \df to pass by something \il  kau mulacupi tanyjong mangga Go past Mangga Cape.,,FALSE
2228,lado,noun,"kind of small moray the starry reef-eel,, some kind of sea snakes, suborders Serpentes and Ophidi",,,,,,,,,,,,,Echidna nebulosa,,,sea creature,,,,,,FALSE
2229,ladu,noun,"various kind of roots and tubers, similar to taro, edible aroids or corm",,,,,,,,,,,,,,,,plant,,,,"ladu makang anak \df kind of edible aroid, new cocoyam, \sn Xanthosoma violaceum \sf  plant, ladu sela \df kind of aroid with reddish roots \sf  plant",,FALSE
2230,ladusere,noun,younger step-sister or step-brother,,,,,,,,,,,,,,,codeword,,,watok,,,,FALSE
2231,laga₁,,,,,,,,,,,,,,,,,,,,,lagai,,,FALSE
2232,laga₂,verb,to coil (e.g. a string on a spool),,,,,,,,,,,,,,,,,,,laga akang,,,FALSE
2233,laga₃,verb,to cause something or someone to go in circles,mulaga akang ia,Make him go in circles (so he won't catch you).,,,,,,,,,,,,,,,,,lalaga:kang,,,FALSE
2234,laga₄,verb,"to twist around, to deceive",Sido mulalaga:kang si ahmat,Sido deceived Ahmat.,,,,,,,,,,,,,,,,,laga-laga akang,,,FALSE
2235,laga₅,verb,to twist something around,,,,,,,,,,,,,,,,,,,balaga,,,FALSE
2236,laga₆,intransitive verb,"to spin, to go around, to circle, to circulate",surat-surat de kapal udara balaga de kampung dalama,Leaflets from the planes,,,,,,,,,,,,,,,,mata balaga,balaga-laga,,,FALSE
2237,laga₇,intransitive verb,to go in circles,,,,,,,,,,,,,,,,,,,balaga-laga akang,,,FALSE
2238,laga₈,intransitive verb,to be in the practice of deceiving someone,,,,,,,,,,,,,,,,,,mata balaga,,,,FALSE
2239,laga-laga,noun,kind of tree bearing edible fruit,,,,,,,,,,,,,,,,plant,,,,,,FALSE
2240,lagu,noun,song,,,,,,,,,,,,,,,,,,,,,,FALSE
2241,lahtala,,,,,,,,,,,,,,,,,,,,ompu lahtala,,,,FALSE
2242,lai₁,verb,to scoop up fish with a triangular net fixed across two crossed poles forming an x-,,,,,,,,,,,,,,,,fishing,,,lai akang,,,FALSE
2243,lai₂,verb,to scoop in such a way at someone's request,,,,,,,,,,,,,,,,fishing,,,balai,,,FALSE
2244,lai₃,intransitive verb,to be engaged in netting,,,,,,,,,,,,,,,,fishing,,,lai-lai,,,FALSE
2245,lai₄,noun,kind of triangular net affixed to an x-shaped frame,,,,,,,,,,,,,,,,fishing,,,,,,FALSE
2246,laila:,exclamation,"Heavens!, exclamation of disbelief",,,,,,,,,,,,,,,,,,,,,,FALSE
2247,laina₁,pronoun,the other one,,,,,,,,,,,,,,,,,,,lalaina,,,FALSE
2248,laina₂,pronoun,the others,yo anu de lalaina tala mo,"Well, are the whatchamacallits at the others' place still not",,,,,,,,,,,,,,,,malaing,,,,FALSE
2249,laka,noun,"kind of tree, alexandrian laurel",,,,,,,,,,,,,Calophyllum inophyllum,,,plant,,,,,,FALSE
2250,laka-laka₁,noun,kind of flower,,,,,,,,,,,,,,,,plant,,,,,,FALSE
2251,laka-laka₂,noun,"kind of bird, the white cockatoo",,,,,,,,,,,,,,,,,,,,"laka-laka ujang \df kind of bird, perhaps a swallow, fam. Hirundinidae \crm  laulaka ujang",,FALSE
2252,lakaré,noun,a twist of cloth coiled on one's head for resting burdens on,,,,,,,,,,,,,,,,,,,,,,FALSE
2253,lakat₁,verb,to strike,,,,,,,,,,,,,,,,,,,,"lakat babicara \df to strike up a conversation, lakat bacarita \df to strike up a conversation <discuss> \af  balakatang \ps  vi \df to hit someone",,FALSE
2254,lakat₂,,,,,,,,,,,,,,,,,,,,,lakati,,,FALSE
2255,lakat₃,verb,to stick something to some place,lakati gambar kata de dinding,Stick (tape) a picture up on the wall.,,,,,,,,,,,,,,,,,lakat akang,,,FALSE
2256,lakat₄,transitive verb,to stick something at someone's request,,,,,,,,,,,,,,,,,,,balakat akang,,,FALSE
2257,lakat₅,intransitive verb,to engage in putting things together with adhesives,aku balakat akang buk,I was busy glueing a book.,,,,,,,,,,,,,,,,malakat,,,,FALSE
2258,laki₁,noun,husband,lakina urang,someone else's husband,,,,,,,,,,,,,,,,,balaki,,,FALSE
2259,laki₂,intransitive verb,"to be married (of women), to have a husband",,,,,,,,,,,,,,,,kinship,,,laki-laki,,,FALSE
2260,laki₃,noun,"male, man, a term in plant nomenclature",masarang laki-laki,kind of palm,,,,,,,,,,,,,,,,,,,,FALSE
2261,laki₄,noun,kind of tree,,,,,,,,,,,,,Barringtonia asiatica,,,plant,,,,,,FALSE
2262,laksa,noun,"kind of translucent noodle, similar to vermicelli",,,,,,,,,,,,,,,,,,,,,,FALSE
2263,lakukang,transitive verb,"to do something, to perpetrate something",,,,,,,,,,,,,,,,,,,,,,FALSE
2264,laku₁,adverb,very,paotang laku,excessively heavy,,,,,,,,,,,,,,,,,,,,FALSE
2265,laku₂,verb,"to sell well, to do a brisk trade",,,,,,,,,,,,,,,,,,,,,,FALSE
2266,lalagakang,,,,,,,,,,,,,,,,,,,,laga,,,,FALSE
2267,lalagar,noun,the lower horizontal structural members which support the planking of a bed,,,,,,,,,,,,,,,,,,pigis,,,,FALSE
2268,lalaina,,,,,,,,,,,,,,,,,,,,laina,,,,FALSE
2270,lalampa,noun,kind of round savory cake of rice and fish wrapped in banana leaf and roasted,,,,,,,,,,,,,,,,food,,,,,,FALSE
2271,lalas₁,verb,to caress,,,,,,,,,,,,,,,,,,,lalasi,,,FALSE
2272,lalas₂,verb,to caress someone or something,Ia mulalasi buoka.,She caressed his hair.,,,,,,,,,,,,,,,,,babalalas akang,,,FALSE
2273,lalas₃,intransitive verb,to caress someone,Song babalalas akang song.,One caressed the other.,,,,,,,,,,,,,,,,,,,,FALSE
2274,lalasang,noun,kind of large device to sift sand or gravel <sieve>,,,,,,,,,,,,,,,,utensil,,,,lalasang kawat \df kind of sifter with a screen mesh bottom \df a wire sifter or sieve for sago flour \crm  pamusukang \sf  utensil \af  balalasang \ps  vi \df to be engaged in sifting something,,FALSE
2275,lalat,noun,"fly, order Diptera",,,,,,,,,,,,,,,,insect,,,,"lalat ijo \df kind of fly, the blue bottle fly, perhaps of the genus Calliphora \sf  insect, lalat nggoa \df kind of black fly \sf  insect, lalat sela \df kind of red fly \sf  insect",,FALSE
2276,lalondang,noun,sugarcane,,,,,,,,,,,,,Saccharum officinarum,,,plant,,,,"lalondang luring \df kind of sugarcane favored by the luring bird \sf  plant, lalondang bangke \df kind of large sugarcane \sf  plant",,FALSE
2277,lalí,noun,"lice crusher, esp. of bamboo (for personal grooming)",,,,,,,,,,,,,,,,utensil,,,,,,FALSE
2278,lalóp,noun,"kind of ray, the stingray",,,,,,,,,,,,,Urolophus testaceus,,,fish,,,,"lalo/p bintang \df kind of ray, the blue-spotted fantail ray, \sn Taeniura lymna \sf  fish, lalo/p cacebar \df kind of ray, the long-tailed ray, \sn Himantura uarnak \sf  fish, lalo/p manuk \df kind of ray, the spotted eagle-ray, \sn Aetobatus narinari \sf  fish",,FALSE
2279,lamak₁,intransitive verb,"delicious, oily and nutty",,,,,,,,,,,,,,,,,,,palamaki,,,FALSE
2280,lamak₂,verb,to add oil to something,,,,,,,,,,,,,,,,,,,,,,FALSE
2281,lamari,noun,"cupboard, armoire",,,,,,,,,,,,,,,,,,kas,,,,FALSE
2282,lamas₁,intransitive verb,"to be on the verge of drowning, to be beyond one's ken or strength, to be overwhelmed, to be vastly outsized, e.g. when trying on clothing far too large",,,,,,,,,,,,,,,,,,,lamas akang,,,FALSE
2283,lamas₂,verb,to drown or sink something or someone,,,,,,,,,,,,,,,,,,,,,,FALSE
2284,lamaurat₁,intransitive verb,to be nearly starved to death <hungry>,,,,,,,,,,,,,,,,,,,palamaurati,,,FALSE
2285,lamaurat₂,verb,"to cause someone to be hungry, to keep food from someone",,,,,,,,,,,,,,,,,,,,,,FALSE
2286,lambak,noun,"ravine, chasm",,,,,,,,,,,,,,,,geography,,oru-oru,,,,FALSE
2287,lambar₁,numeral classifier,"sheet, counter for paper, books, etc.",Kuala bukimu salambar?,How about if I take one of your books?,,,,,,,,,,,,,,,,,balambar-lambar,,,FALSE
2288,lambar₂,intransitive verb,to be arranged in numerous sheets,,,,,,,,,,,,,,,,,,,,,,FALSE
2289,lambat₁,intransitive verb,"slow-moving, tardy, late",,,,,,,,,,,,,,,,,,,lambati,,,FALSE
2290,lambat₂,verb,to delay someone,Kau mulambati aku bapaguna:ng.,You're delaying me from my work.,,,,,,,,,,,,,,,,,palambati,,,FALSE
2291,lambat₃,verb,"to reduce the speed of something, to slow something down",,,,,,,,,,,,,,,,,,,,,,FALSE
2292,lambe₁,intransitive verb,"to wave, to beckon",,,,,,,,,,,,,,,,,,,lambe akang,,,FALSE
2293,lambe₂,verb,to beckon someone at another's request,,,,,,,,,,,,,,,,,,,,,,FALSE
2294,lampa,intransitive verb,straight,,,,,,,,,,,,,,,archaic,,,,,,,FALSE
2295,lampa:ng,noun,"vegetable, esp. cooked dishes of boiled foods that contain vegetables, i.e. noodles,",,,,,,,,,,,,,,,,food,,,,lampa:ng garu \df kind of culinary preparation in which sliced vegetables are sauteed with very little oil and some spices \crm  garu,,FALSE
2296,lamét,noun,"kind of flat cake of cassava and palm sugar, wrapped in banana leaf",,,,,,,,,,,,,,,,food,,,,,,FALSE
2297,landasan,noun,"basis, airfield, landing trip",,,,,,,,,,,,,,,,,Indonesian,,,,,FALSE
2298,lande,intransitive verb,shallow,,,,,,,,,,,,,,,,,,,,,,FALSE
2299,lano,noun,"residue, renderings from making coconut oil",,,,,,,,,,,,,,,,culinary,,lanyjar,,,,FALSE
2300,lano-lano,noun,marrow,,,,,,,,,,,,,,,,body,,,,,,FALSE
2301,lanos₁,intransitive verb,withered (due to heat),,,,,,,,,,,,,,,,,,,palanosi,,,FALSE
2302,lanos₂,verb,to cause something to wither by heating it,,,,,,,,,,,,,,,,,,,,,,FALSE
2303,lantoro,noun,kind of tree,,,,,,,,,,,,,Leucaena glauca,,,plant,,,,,,FALSE
2304,langgamang,noun,"sensation preceding a fever attack, chills indicating the onset of illness",,,,,,,,,,,,,,,,health,,,,,,FALSE
2305,langgar₁,verb,to pass by,,,,,,,,,,,,,,,,,,,langgari,,,FALSE
2306,langgar₂,verb,to pass by something,Alengo kulanggari pasar sunyi manusia mone,"Just now I passed by the market, it was",,,,,,,,,,,,,,,,,,,,FALSE
2307,langgar₃,noun,an Islamic prayer house,,,,,,,,,,,,,,,,spiritual,,masigi/t,,,,FALSE
2308,langi-langit,noun,palate,,,,,,,,,,,,,,,,,,,,,,FALSE
2309,langit,noun,sky,,,,,,,,,,,,,,,,natural phenomenon,,,,,,FALSE
2310,langkap,verb,"fully equipped, fully furnished, complete",,,,,,,,,,,,,,,,,,,,,,FALSE
2311,langker₁,pronoun,"he, him",deminyá basaláng kita tolu nang langker babose hakali barikang,How about if he and,,,,,,,,,,,,respectful third person singular term of reference for older men,,,,,,,,FALSE
2312,langker₂,noun,"male elder, older man, male adult",si jafar mubei langker itu dodol,Jafar gave the man some durian cake.,,,,,,,,,,,,,,,,karukus,,,,FALSE
2313,langkuas,noun,"kind of ginger, used as a spice, the greater galangal",,,,,,,,,,,,,Languas galanga,,,plant,,,,,,FALSE
2314,langsung,adverb,"straightaway, without deviation or interuption, straight",tapasang kaca nang langsung seng hakali,We put in the glass and straightaway the zinc,kau muli langsung de ruma,Are you going straight home?,,,,,,,,,,,,,,bobuena,,,,FALSE
2315,lanycat-lanycat,noun,kind of tree,,,,,,,,,,,,,,,,plant,,,,,,FALSE
2316,lanyjar₁,noun,"dregs after frying fish, residue of scorched fragments",,,,,,,,,,,,,,,,culinary,,lano,,,,FALSE
2317,lanyjar₂,verb,"to loosen (of kite strings), to slacken (ropes)",,,,,,,,,,,,,,,,,,,lanyjari,,,FALSE
2318,lanyjar₃,verb,to slacken something for someone,,,,,,,,,,,,,,,,,,,,,,FALSE
2319,lanyjar₄,verb,to slacken something at someone's request,,,,,,,,,,,,,,,,,,,balanyjarang,,,FALSE
2320,lanyjar₅,intransitive verb,to be criss-crossed and tangled in a kite fight,filinggir dua balanyjarang ianta,Two kites are crossed there in a kite fight,,,,,,,,,,,,,,,,,palanyjari,,,FALSE
2321,lanyjar₆,verb,to slacken something (kite lines) in order to compete with another kite,,,,,,,,,,,,,,,,,,,lanyjar-lanyjar,,,FALSE
