no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
1200,edat,noun,"kind of culinary preparation of raw fish, citrus fruit juice and spices, kind of seviche",,,,,,,,,,,,,,,,food,,kolot,,,,FALSE
1201,egang,intransitive verb,to be odd (of one's gait),,,,,,,,,,,,,,,,,,,,,,FALSE
1202,eling₁,verb,"to recall someone, to remember someone fondly",,,,,,,,,,,,,,,,,,,eling-eling,,,FALSE
1203,eling₂,verb,to continuously recollect someone,kueling-eling kau torus,I always remember you,,,,,,,,,,,,,,,,,,,,FALSE
1204,embing,verb,to hold something in the lap,,,,,,,,,,,,,,,,,,,,,,FALSE
1205,embusang,noun,"bellows, the pump used at a forge",,,,,,,,,,,,,,,,,,,,,,FALSE
1206,endar₁,verb,"to be mirthful and excited, to be gleeful and happy",Aku endar kudapa papait capatu itu.,I was delighted to get that gift of shoes.,,,,,,,,,,,,,,,,,baendar-endar,,,FALSE
1207,endar₂,intransitive verb,to be excessively gleeful and happy,,,,,,,,,,,,,,,,,,kaendar,,,,FALSE
1208,engi,noun,"the people, the peasantry, the subjects of a certain ruler",,,,,,,,,,,,,,,archaic,society,,,,,,FALSE
1209,engku₁,pronoun,you,,,,,,,,,,,,,,term of address for teachers,,,,,,,,FALSE
1210,engku₂,noun,"teacher, esp. as an identifying sobriquet",muhamat engku,Muhammad the teacher (as opposed to someone else named Muhammad),,,,,,,,,,,,,,,,,,,,FALSE
1211,e₁,exclamation,"hey, say!",e pesa kamí danga itu itu bahasanta,"Hey, just try listening to that",that's our language!,,,,,,,,,,,,,,,,,,,FALSE
1212,e₂,particle,"huh?, am I right?",kudanga habár kamí yogo pabua ruma e,"I heard that you are going to build a house,",o jadi lima udang tagala e,"Oh so it takes five months, does it?",,,,,,,,,,a question marker,,,,i:,,,,FALSE
1213,esde,noun,elementary school,,,,,,,,,,,,,,,,,,,,,,FALSE
1214,esing₁,numeral classifier,"bunch or hand of bananas, a counter for bananas",,,,,,,,,,,,,,,,,,,baesing,,,FALSE
1215,esing₂,intransitive verb,to engage in separating hands of bananas from the stalk,,,,,,,,,,,,,,,,,,,,,,FALSE
1216,eso₁,,,,,,,,,,,,,,,,,,,,,baeso,,,FALSE
1217,eso₂,intransitive verb,"to pull oneself (in a seated position) along the floor, to slide one's rump across a level",,,,,,,,,,,,,,,,,,,,,,FALSE
1218,esá,noun,the time for the Islamic prayer ritual in the evening,,,,,,,,,,,,,,,,spiritual,,,,,,FALSE
1219,eti₁,verb,to understand or know something,kueti mo,I don't understand.,kamí eti pabua bedeng,Do you two know (how) to make a planting bed?,,,,,,,,,,,,,,,eti akang,,,FALSE
1220,eti₂,verb,to know about something,Taeti akang mo,We don't know (anything) about it.,aku kueti akang moyo keadaan sabapina,I do not understand about the reasons for the,,,,,,,,,,,,,,,,,,FALSE
1221,faduli₁,verb,to pay attention to something (when such attention is inappropriate),,,,,,,,,,,,,,,,,,,bafaduli,,,FALSE
1222,faduli₂,intransitive verb,to pry into other's business,,,,,,,,,,,,,,,,,,,,,,FALSE
1223,faham,intransitive verb,to understand,,,,,,,,,,,,,,,,,,,,,,FALSE
1224,fajar,noun,the morning star,,,,,,,,,,,,,,,,natural phenomenon,,,,,,FALSE
1225,fam,noun,"descent, family-line, family name",nyamana pusung fam pusung,His name was Pusung,the family name was Pusung.,,,,,,,,,,,,,,,,,,,FALSE
1226,fandíng₁,verb,to have need of someone or something,hadiki dang aku fandíng kau,In a little while I will have need of you (your presence),,,,,,,,,,,,,,,,,,,,FALSE
1227,fandíng₂,particle,"need to, have to",aku fandíng kau tulis surat ini,I need you to write this letter.,,,,,,,,,,,,,,,,,,,,FALSE
1228,fantal₁,verb,"to untie something (a knot), to unlace",fatal capatu,unlace shoes,,,,,,,,,,,,,,,,,fantal akang,,,FALSE
1229,fantal₂,verb,to unfasten something at someone's request,,,,,,,,,,,,,,,,,,,nafantal,,,FALSE
1230,fantal₃,intransitive verb,"opened, split apart",,,,,,,,,,,,,,,,,,,,,,FALSE
1231,fara,noun,"freckle, birthmark",,,,,,,,,,,,,,,,body,,,,,,FALSE
1232,farak₁,verb,to spread something apart (e.g. to level a heap of sand),,,,,,,,,,,,,,,,,,,bafara-farakang,,,FALSE
1233,farak₂,intransitive verb,"to arrange in separate classes, to be arranged in different categories",aku ini tala botang mala-malaingang bafara-farakang ini,,kayu ini yogo kupake yang,,,,,,,,,,,,archaic,,,,,,,FALSE
1234,faroro₁,intransitive verb,shriveled or shrunken with age,,,,,,,,,,,,,,,,,,,bafaroro,,,FALSE
1235,faroro₂,intransitive verb,to shrink or shrivel (of one's skin and body appendages) because of exposure to cold,,,,,,,,,,,,,,,,,,,,,,FALSE
1236,farák₁,noun,"fare, the price of passage",,,,,,,,,,,,,,,,,,,,,,FALSE
1237,farák₂,intransitive verb,"to show the signs of a recent illness, to be drawn and wan",,,,,,,,,,,,,,,,,,,,,,FALSE
1238,fastiu,,,,,,,,,,,,,,,,,,,,pastiu,,,,FALSE
1239,fato₁,transitive verb,"to put something in order, to arrange objects, to lay out (foods, etc.), to set something (on the table)",Nis tala mufato macang-macang momami de meja.,Nis has set out all kinds of cakes on,,,,,,,,,,,,,,,,,bafato,,,FALSE
1240,fato₂,intransitive verb,"to get in line, to be arranged",,,,,,,,,,,,,,,,,,,,,,FALSE
1241,fefut,,,,,,,,,,,,,,,,,,,,bakafefut,,,,FALSE
1242,felem,noun,"film (for a camera), cinematic showing, movie",,,,,,,,,,,,,,,,,,,,,,FALSE
1243,felpeng,noun,"various kind of pens, including felt tip, ballpoint and fountain pens",,,,,,,,,,,,,,,,,,,,,,FALSE
1244,fentol,,,,,,,,,,,,,,,,,,,,gigi fentol,,,,FALSE
1245,fete-fete,noun,various kind of plants,,,,,,,,,,,,,"Bromelia humilis, Crinum asiaticum",,,plant,,,,,,FALSE
1246,fia₁,,,,,,,,,,,,,,,,,,,,,nafia,,,FALSE
1247,fia₂,intransitive verb,wide open,,,,,,,,,,,,,,,,,,,,,,FALSE
1248,fikir₁,verb,to think about something,,,,,,,,,,,,,,,,,,,fikir akang,,,FALSE
1249,fikir₂,intransitive verb,"to consider something, to bear something in mind",kufikir akang anaku ni bolung ada pondo,I am considering that my child does not yet,,,,,,,,,,,,,,,,,bafikir,,,FALSE
1250,fikir₃,intransitive verb,"to think, to be reflective",tala ompu lahtala mubei supaya kita tadapa bafikir,God Most High has granted it that,,,,,,,,,,,,,,,,,fikirang,,,FALSE
1251,fikir₄,noun,thought,,,,,,,,,,,,,,,,,,,,,,FALSE
1252,filinggir₁,noun,kite (for flying),,,,,,,,,,,,,,,,,,,bafilinggir,,,FALSE
1253,filinggir₂,intransitive verb,to engage in kite flying,,,,,,,,,,,,,,,,,,,,,,FALSE
