hw,ps,df,il,gc,crm,sc,sf,id,df.,lw
alangang,n,inhibitory factor; *problem,kami ini nang alangang po pauli mo balampo jau| We have a difficulty to deal with so,,,,,,,
alap,v,to *invite s.o. (at another's request) to a ritual meal,Mualap akang langker inycana kamai. |Invite that elder there to come here.,,,,,,,
alap,n,those invited to a ritual meal; *guest|s,alap-alap di dodak tala kapo ka bolung| Have those invited earlier already arrived or,,,,,,,
alap,vi,to extend *invitation|s for a ceremony,,,undang,,,,,
alapi:,v,to *take for s.o.,Mualap: aku glas aku yogo kulonggar paisu. |Get me a glass; I want to drink some,,ala,,,,,
alat,n,*tool; *equipment ; requisite *equipment,,,,,,alat pakakas,,
alat,vi,to be *equipped or characterized by a tool,,,pakakas,,tool,,,
alaws,n,k.o. *bird; *hawk or *kite of the family *Accipitridae,,,,,bird,,,
ale-ale,vt,to *soothe s.o. (an infant) by dancing or singing; to *lullaby s.o.,,,,,,,,
ale-ale,vi,to *lullaby or *amuse and soothe children,,,,,,,,
alelend,n,k.o. epiphytic *fern; [%*Drynaria~rigidula|] <*epiphyte>,,,,,plant,,,
alengo,part,a *moment ago ; *mentioned earlier; *aforesaid,alengo kulanggari pasar sunyi manusia mo| A few minutes ago I passed by the market. ; ...supaya daung alengo itu dadi kasal| ...so that the aforementioned leaves become,,,,,,,
alhamdu,,,,,sukur alhamdu,,,,,
alidarng,n,k.o. traditional fried *cake made of rice flour and palm sugar,,,,,,,,
alifuru,n,*animist; *pagan ; to be a *naive person; to behave like a *rustic or *unsophisticated person (e.g. to be,si jani alifuruna| Mujani's lack of sophistication is really something.,,,Derogatory,,,,
alilipang,n,*centipede; class *Chilopoda,,,alimamayang ; calumeme,,insect,,,
alim,v,*pious,,,,,,,,
alimamayang,n,k.o. luminescent *centipede; class *Chilopoda,,,alilipang ; calumeme,,insect,,,
alimarang,part,*last~night,,,ari malang,,,,,
alimpapat,n,*firefly; fam. *Lampyridae ; *ladybug; fam. *Coccinellidae,,,,,insect,,,
alimposuk,n,*whale; order *Cetacea,,,posuk ; paus-paus,,sea creature,,,
alinamung,n,a sea *plant; with clusters of strap-like leaves,,,,,plant,,,
